Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Afghanistan,AFG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,380100.0
Afghanistan,AFG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,379140.0
Afghanistan,AFG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,379150.0
Afghanistan,AFG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,379170.0
Afghanistan,AFG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,379160.0
Afghanistan,AFG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,379160.0
Afghanistan,AFG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,379140.0
Afghanistan,AFG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,379170.0
Afghanistan,AFG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,379280.0
Afghanistan,AFG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,378840.0
Afghanistan,AFG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,377900.0
Afghanistan,AFG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,377950.0
Afghanistan,AFG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,377940.0
Afghanistan,AFG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,377640.0
Afghanistan,AFG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,378680.0
Afghanistan,AFG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,377950.0
Afghanistan,AFG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,377570.0
Afghanistan,AFG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,377630.0
Afghanistan,AFG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,378130.0
Afghanistan,AFG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,379340.0
Afghanistan,AFG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,380300.0
Afghanistan,AFG,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,380300.0
Afghanistan,AFG,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,380400.0
Afghanistan,AFG,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,380400.0
Afghanistan,AFG,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,380400.0
Afghanistan,AFG,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,380450.0
Afghanistan,AFG,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,380540.0
Afghanistan,AFG,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,380540.0
Afghanistan,AFG,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,380540.0
Afghanistan,AFG,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,380540.0
Afghanistan,AFG,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,380540.0
Afghanistan,AFG,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,380530.0
Afghanistan,AFG,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,380490.0
Afghanistan,AFG,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,380490.0
Afghanistan,AFG,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,380500.0
Afghanistan,AFG,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,380500.0
Afghanistan,AFG,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,380500.0
Afghanistan,AFG,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,380503.0
Afghanistan,AFG,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,380503.0
Afghanistan,AFG,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,380492.0
Afghanistan,AFG,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,380480.0
Afghanistan,AFG,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,380360.0
Afghanistan,AFG,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,380060.0
Afghanistan,AFG,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,379960.0
Afghanistan,AFG,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,379800.0
Afghanistan,AFG,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,379790.0
Afghanistan,AFG,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,379550.0
Afghanistan,AFG,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,379100.0
Afghanistan,AFG,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,379050.0
Afghanistan,AFG,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,378500.0
Afghanistan,AFG,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,378000.0
Afghanistan,AFG,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,377500.0
Afghanistan,AFG,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.7415482268525
Afghanistan,AFG,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.7415482268525
Afghanistan,AFG,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.2769881790166
Afghanistan,AFG,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.2769881790166
Afghanistan,AFG,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.129800837128
Afghanistan,AFG,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.131334038606
Afghanistan,AFG,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.134400441562
Afghanistan,AFG,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.132867240084
Afghanistan,AFG,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.132867240084
Afghanistan,AFG,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.129800837128
Afghanistan,AFG,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216
Afghanistan,AFG,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.134400441562
Afghanistan,AFG,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.1512656578201
Afghanistan,AFG,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.0838047927878
Afghanistan,AFG,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.9396838538552
Afghanistan,AFG,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.9473498612453
Afghanistan,AFG,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.9458166597673
