Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Algeria,DZA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,413388.496
Algeria,DZA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,413351.408
Algeria,DZA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,413602.0
Algeria,DZA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,414564.0
Algeria,DZA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,414310.0
Algeria,DZA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,414316.35
Algeria,DZA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,413981.9
Algeria,DZA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,413880.0
Algeria,DZA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,413740.0
Algeria,DZA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,413800.0
Algeria,DZA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,413090.0
Algeria,DZA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,412520.0
Algeria,DZA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,411810.0
Algeria,DZA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,412110.0
Algeria,DZA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,411450.0
Algeria,DZA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,399057.0
Algeria,DZA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,398550.0
Algeria,DZA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,401090.0
Algeria,DZA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,400210.0
Algeria,DZA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,397310.0
Algeria,DZA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,398260.0
Algeria,DZA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,396900.0
Algeria,DZA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,396360.0
Algeria,DZA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,396490.0
Algeria,DZA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,396400.0
Algeria,DZA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,388620.0
Algeria,DZA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,388650.0
Algeria,DZA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,386220.0
Algeria,DZA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,386760.0
Algeria,DZA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,387600.0
Algeria,DZA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,388170.0
Algeria,DZA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,387790.0
Algeria,DZA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,386880.0
Algeria,DZA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,390510.0
Algeria,DZA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,396100.0
Algeria,DZA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,392820.0
Algeria,DZA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,391070.0
Algeria,DZA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,391710.0
Algeria,DZA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,438300.0
Algeria,DZA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,438200.0
Algeria,DZA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,438430.0
Algeria,DZA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,438320.0
