Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
American Samoa,ASM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,28.1
American Samoa,ASM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,27.8
American Samoa,ASM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,27.5
American Samoa,ASM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,27.2
American Samoa,ASM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,26.9
American Samoa,ASM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,26.6
American Samoa,ASM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,26.3
American Samoa,ASM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,26.0
American Samoa,ASM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,25.7
American Samoa,ASM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,25.4
American Samoa,ASM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,25.1
American Samoa,ASM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,24.8
American Samoa,ASM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,24.5
American Samoa,ASM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,24.2
American Samoa,ASM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,23.9
American Samoa,ASM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,23.6
American Samoa,ASM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,23.3
American Samoa,ASM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,23.0
American Samoa,ASM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,22.7
American Samoa,ASM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,22.36
American Samoa,ASM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,22.02
American Samoa,ASM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,21.68
American Samoa,ASM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,21.34
American Samoa,ASM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,21.0
American Samoa,ASM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,20.66
American Samoa,ASM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,20.32
American Samoa,ASM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,19.98
American Samoa,ASM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,19.64
American Samoa,ASM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,19.3
American Samoa,ASM,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.5
American Samoa,ASM,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.35
American Samoa,ASM,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.2
American Samoa,ASM,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.05
American Samoa,ASM,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.9
American Samoa,ASM,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.75
American Samoa,ASM,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.6
American Samoa,ASM,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.45
American Samoa,ASM,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.3
American Samoa,ASM,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.15
American Samoa,ASM,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.0
American Samoa,ASM,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.85
American Samoa,ASM,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.7
American Samoa,ASM,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.55
American Samoa,ASM,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.4
American Samoa,ASM,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.25
American Samoa,ASM,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.1
American Samoa,ASM,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.95
American Samoa,ASM,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.8
