Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Angola,AGO,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,457920.0
Angola,AGO,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,457720.0
Angola,AGO,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,458240.0
Angola,AGO,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,457890.0
Angola,AGO,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,456740.0
Angola,AGO,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,454880.0
Angola,AGO,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,453030.0
Angola,AGO,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,453160.0
Angola,AGO,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,448500.0
Angola,AGO,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,446300.0
Angola,AGO,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,441950.0
Angola,AGO,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,442450.0
Angola,AGO,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,441370.0
Angola,AGO,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,441830.0
Angola,AGO,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,443100.0
Angola,AGO,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,444990.0
Angola,AGO,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,444380.0
Angola,AGO,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,444150.0
Angola,AGO,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,445230.0
Angola,AGO,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,445670.0
Angola,AGO,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,445130.0
Angola,AGO,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,444500.0
Angola,AGO,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,444470.0
Angola,AGO,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,444900.0
Angola,AGO,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,445100.0
Angola,AGO,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,445100.0
Angola,AGO,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,445110.0
Angola,AGO,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,444830.0
Angola,AGO,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,444560.0
Angola,AGO,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,444780.0
Angola,AGO,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,445010.0
Angola,AGO,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,445230.0
Angola,AGO,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,445450.0
Angola,AGO,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,446280.0
Angola,AGO,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,446500.0
Angola,AGO,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,446780.0
Angola,AGO,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,447050.0
Angola,AGO,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,447280.0
Angola,AGO,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,447650.0
Angola,AGO,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,447930.0
Angola,AGO,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,448250.0
Angola,AGO,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,448480.0
Angola,AGO,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,448700.0
Angola,AGO,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,450930.0
Angola,AGO,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,451150.0
Angola,AGO,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,451370.0
Angola,AGO,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,451600.0
Angola,AGO,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,451820.0
Angola,AGO,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,452050.0
Angola,AGO,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,452270.0
Angola,AGO,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,452100.0
Angola,AGO,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,452020.0
Angola,AGO,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,451950.0
