Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Antigua and Barbuda,ATG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Antigua and Barbuda,ATG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
