Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Argentina,ARG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1159577.597
Argentina,ARG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1176404.0
Argentina,ARG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1189899.0
Argentina,ARG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1207394.0
Argentina,ARG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1211889.0
Argentina,ARG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1229374.0
Argentina,ARG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1247419.0
Argentina,ARG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1253184.0
Argentina,ARG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1262679.0
Argentina,ARG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1243284.0
Argentina,ARG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1270469.0
Argentina,ARG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1299684.0
Argentina,ARG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1301389.0
Argentina,ARG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1299209.0
Argentina,ARG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1294966.0
Argentina,ARG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1291033.0
Argentina,ARG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1287100.0
Argentina,ARG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1286060.0
Argentina,ARG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1285100.0
Argentina,ARG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1284120.0
Argentina,ARG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1283300.0
Argentina,ARG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1282350.0
Argentina,ARG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1281420.0
Argentina,ARG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1280450.0
Argentina,ARG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1279480.0
Argentina,ARG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1278500.0
Argentina,ARG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1277550.0
Argentina,ARG,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1276600.0
Argentina,ARG,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1275650.0
