Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Azerbaijan,AZE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,47795.0
Azerbaijan,AZE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,47775.0
Azerbaijan,AZE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,47730.0
Azerbaijan,AZE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,47698.0
Azerbaijan,AZE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,47697.0
Azerbaijan,AZE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,47698.0
Azerbaijan,AZE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,47683.0
Azerbaijan,AZE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,47687.0
Azerbaijan,AZE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,47668.0
Azerbaijan,AZE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,47573.0
Azerbaijan,AZE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,47567.0
Azerbaijan,AZE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,47565.0
Azerbaijan,AZE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,47560.0
Azerbaijan,AZE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,47586.0
Azerbaijan,AZE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,47549.0
Azerbaijan,AZE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,47546.0
Azerbaijan,AZE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,47449.0
Azerbaijan,AZE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,47456.0
Azerbaijan,AZE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,47404.0
Azerbaijan,AZE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,46924.0
Azerbaijan,AZE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,46821.0
Azerbaijan,AZE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,45887.0
Azerbaijan,AZE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,45262.0
Azerbaijan,AZE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,44891.0
Azerbaijan,AZE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,44860.0
