Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Bahamas, The",BHS,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Bahamas, The",BHS,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
"Bahamas, The",BHS,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
"Bahamas, The",BHS,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Bahamas, The",BHS,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.2987012987013
"Bahamas, The",BHS,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.1988011988012
"Bahamas, The",BHS,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
"Bahamas, The",BHS,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.0989010989011
"Bahamas, The",BHS,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999000999
