Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Barbados,BRB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Barbados,BRB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Barbados,BRB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Barbados,BRB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Barbados,BRB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Barbados,BRB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,125.0
Barbados,BRB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Barbados,BRB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Barbados,BRB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,150.0
Barbados,BRB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Barbados,BRB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Barbados,BRB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Barbados,BRB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Barbados,BRB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Barbados,BRB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Barbados,BRB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Barbados,BRB,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
