Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Belarus,BLR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,84530.0
Belarus,BLR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,84940.0
Belarus,BLR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,85327.0
Belarus,BLR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,85742.0
Belarus,BLR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,86239.0
Belarus,BLR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,87112.0
Belarus,BLR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,87960.0
Belarus,BLR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,88750.0
Belarus,BLR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,88980.0
Belarus,BLR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,89270.0
Belarus,BLR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,89170.0
Belarus,BLR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,89160.0
Belarus,BLR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,89580.0
Belarus,BLR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,89490.0
Belarus,BLR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,89570.0
Belarus,BLR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,89860.0
Belarus,BLR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,90250.0
Belarus,BLR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,91280.0
Belarus,BLR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,92520.0
Belarus,BLR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,92810.0
Belarus,BLR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,93070.0
Belarus,BLR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,93060.0
Belarus,BLR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,93330.0
Belarus,BLR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,93390.0
Belarus,BLR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,93460.0
Belarus,BLR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,93540.0
Belarus,BLR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,93910.0
Belarus,BLR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2759300320276
Belarus,BLR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.7971228692482
Belarus,BLR,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.3223954869066
Belarus,BLR,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.6444969947778
Belarus,BLR,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.8448381185095
Belarus,BLR,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.0354897826473
Belarus,BLR,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.242016376159
Belarus,BLR,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.4879171121282
Belarus,BLR,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.9317720346167
Belarus,BLR,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.3516182928452
Belarus,BLR,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.7386033216697
Belarus,BLR,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8536830588166
Belarus,BLR,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.9974765645792
Belarus,BLR,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.9473243240579
