Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Belgium,BEL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,13540.0
Belgium,BEL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,13270.0
Belgium,BEL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,13508.0
Belgium,BEL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,13280.0
Belgium,BEL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,13313.0
Belgium,BEL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,13365.0
Belgium,BEL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,13320.0
Belgium,BEL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,13357.0
Belgium,BEL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,13557.0
Belgium,BEL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,13636.0
Belgium,BEL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,13653.0
Belgium,BEL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,13669.0
Belgium,BEL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,13800.0
Belgium,BEL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,13830.0
Belgium,BEL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,13913.0
Belgium,BEL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,13922.0
Belgium,BEL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,13891.0
Belgium,BEL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,13868.0
Belgium,BEL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,13896.0
Belgium,BEL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,15210.0
Belgium,BEL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,15180.0
Belgium,BEL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,15100.0
Belgium,BEL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,15010.0
Belgium,BEL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,14950.0
Belgium,BEL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,14920.0
Belgium,BEL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,14830.0
Belgium,BEL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,14710.0
Belgium,BEL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,14230.0
Belgium,BEL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,14430.0
Belgium,BEL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,14660.0
Belgium,BEL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,14960.0
Belgium,BEL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,15010.0
Belgium,BEL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,15100.0
Belgium,BEL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,15160.0
Belgium,BEL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,15240.0
Belgium,BEL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,15280.0
Belgium,BEL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,15310.0
Belgium,BEL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,14600.0
Belgium,BEL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,14710.0
Belgium,BEL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,16890.0
Belgium,BEL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,17760.0
Belgium,BEL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,17680.0
Belgium,BEL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,17810.0
Belgium,BEL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,17910.0
Belgium,BEL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,18010.0
Belgium,BEL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,17630.0
Belgium,BEL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,17480.0
Belgium,BEL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,17560.0
Belgium,BEL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,17630.0
Belgium,BEL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,17630.0
Belgium,BEL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,17520.0
Belgium,BEL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,17580.0
Belgium,BEL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,17550.0
Belgium,BEL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,17580.0
Belgium,BEL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,17610.0
Belgium,BEL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,17720.0
Belgium,BEL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,18160.0
Belgium,BEL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,18110.0
Belgium,BEL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.1013870541612
Belgium,BEL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.066357331572
Belgium,BEL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7959907529723
Belgium,BEL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7159841479524
Belgium,BEL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8243064729194
Belgium,BEL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6103038309115
Belgium,BEL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8573315719947
Belgium,BEL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.9663143989432
Belgium,BEL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1380449141347
Belgium,BEL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.9894319682959
Belgium,BEL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1116248348745
Belgium,BEL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7721268163804
Belgium,BEL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.0330250990753
Belgium,BEL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.0891677675033
Belgium,BEL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.1420079260238
Belgium,BEL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.5746367239102
Belgium,BEL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.6737120211361
Belgium,BEL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.947820343461
Belgium,BEL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.9775429326288
Belgium,BEL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.8751651254954
Belgium,BEL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.7992073976222
Belgium,BEL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.891677675033
Belgium,BEL,2021,Arable land (% of land area),AG.LND.ARBL.ZS,28.5878467635403
Belgium,BEL,2020,Arable land (% of land area),AG.LND.ARBL.ZS,28.5626354029062
