Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bosnia and Herzegovina,BIH,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,22110.0
Bosnia and Herzegovina,BIH,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,22280.0
Bosnia and Herzegovina,BIH,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,22090.0
Bosnia and Herzegovina,BIH,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,21760.0
Bosnia and Herzegovina,BIH,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,21570.0
Bosnia and Herzegovina,BIH,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,21610.0
Bosnia and Herzegovina,BIH,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,21560.0
Bosnia and Herzegovina,BIH,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,21510.0
Bosnia and Herzegovina,BIH,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,21440.0
Bosnia and Herzegovina,BIH,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,21280.0
Bosnia and Herzegovina,BIH,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,21300.0
Bosnia and Herzegovina,BIH,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,21490.0
Bosnia and Herzegovina,BIH,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,21590.0
Bosnia and Herzegovina,BIH,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,21570.0
Bosnia and Herzegovina,BIH,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,21694.0
Bosnia and Herzegovina,BIH,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,21690.0
Bosnia and Herzegovina,BIH,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,21230.0
Bosnia and Herzegovina,BIH,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,21260.0
Bosnia and Herzegovina,BIH,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,21300.0
Bosnia and Herzegovina,BIH,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,21050.0
Bosnia and Herzegovina,BIH,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,21600.0
Bosnia and Herzegovina,BIH,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,21650.0
Bosnia and Herzegovina,BIH,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,21700.0
Bosnia and Herzegovina,BIH,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,21750.0
Bosnia and Herzegovina,BIH,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,21800.0
Bosnia and Herzegovina,BIH,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,21900.0
Bosnia and Herzegovina,BIH,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
Bosnia and Herzegovina,BIH,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,22000.0
