Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Botswana,BWA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,258616.0
Botswana,BWA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,258616.0
Botswana,BWA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,258616.0
Botswana,BWA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,258616.0
Botswana,BWA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,260040.0
Botswana,BWA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,258820.0
Botswana,BWA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,258870.0
Botswana,BWA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,259260.0
Botswana,BWA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,258610.0
Botswana,BWA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,259180.0
Botswana,BWA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,258810.0
Botswana,BWA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,257840.0
Botswana,BWA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,258030.0
Botswana,BWA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,258150.0
Botswana,BWA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,258270.0
Botswana,BWA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,257960.0
Botswana,BWA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,258460.0
Botswana,BWA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,258010.0
Botswana,BWA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,259510.0
Botswana,BWA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,258410.0
Botswana,BWA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,258310.0
Botswana,BWA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,259010.0
Botswana,BWA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,259460.0
Botswana,BWA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,259460.0
Botswana,BWA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,259960.0
Botswana,BWA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,259510.0
Botswana,BWA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,258510.0
Botswana,BWA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,259010.0
Botswana,BWA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,260210.0
Botswana,BWA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,260150.0
Botswana,BWA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,260100.0
Botswana,BWA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,260100.0
Botswana,BWA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,260080.0
Botswana,BWA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,260080.0
Botswana,BWA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,260060.0
Botswana,BWA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,260060.0
Botswana,BWA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,260060.0
Botswana,BWA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,260040.0
Botswana,BWA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,260040.0
Botswana,BWA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,260040.0
