Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Brazil,BRA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,2375018.01
Brazil,BRA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,2368786.0
Brazil,BRA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,2361590.0
Brazil,BRA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,2354382.0
Brazil,BRA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,2347174.0
Brazil,BRA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,2339966.0
Brazil,BRA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,2332758.0
Brazil,BRA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,2325550.0
Brazil,BRA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,2318342.0
Brazil,BRA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,2311134.0
Brazil,BRA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,2303926.0
Brazil,BRA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,2296718.0
Brazil,BRA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,2289510.0
Brazil,BRA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,2288420.0
Brazil,BRA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,2287383.0
Brazil,BRA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,2286346.0
Brazil,BRA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,2285309.0
Brazil,BRA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,2284272.0
Brazil,BRA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,2283235.0
Brazil,BRA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,2282198.0
Brazil,BRA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,2281161.0
Brazil,BRA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,2280124.0
Brazil,BRA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,2279087.0
Brazil,BRA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,2278050.0
Brazil,BRA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,2292208.0
Brazil,BRA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,2306406.0
Brazil,BRA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,2320604.0
Brazil,BRA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,2334802.0
Brazil,BRA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,2349000.0
Brazil,BRA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,2363198.0
Brazil,BRA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,2377396.0
Brazil,BRA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,2391594.0
Brazil,BRA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,2405792.0
Brazil,BRA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,2419987.07
Brazil,BRA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,2401042.0
Brazil,BRA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,2382074.0
Brazil,BRA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,2363106.0
Brazil,BRA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,2344138.0
Brazil,BRA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,2325172.08
Brazil,BRA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,2275430.0
Brazil,BRA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,2226220.0
Brazil,BRA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,2177010.0
Brazil,BRA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,2127800.0
Brazil,BRA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,2078590.0
Brazil,BRA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2043520.0
Brazil,BRA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,2008460.0
Brazil,BRA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,1973400.0
Brazil,BRA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1938340.0
Brazil,BRA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1903280.0
Brazil,BRA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1866150.0
Brazil,BRA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1829080.0
Brazil,BRA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1792010.0
Brazil,BRA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,1754940.0
Brazil,BRA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,1717870.0
Brazil,BRA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,1680800.0
Brazil,BRA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,1643730.0
Brazil,BRA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,1606660.0
Brazil,BRA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,1569590.0
Brazil,BRA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6390944636007
Brazil,BRA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5646185634603
Brazil,BRA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.490129502497
Brazil,BRA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4156284771492
Brazil,BRA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3410663137971
Brazil,BRA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2549706035075
Brazil,BRA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1687313206048
Brazil,BRA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0824920377022
Brazil,BRA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9962527547995
Brazil,BRA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9100134718969
Brazil,BRA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8237741889942
Brazil,BRA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7375349060916
Brazil,BRA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6512956231889
Brazil,BRA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.5650563402862
Brazil,BRA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4788170573836
Brazil,BRA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3925777744809
Brazil,BRA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3795365954626
Brazil,BRA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3671295288186
Brazil,BRA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3547224621746
Brazil,BRA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3423153955306
Brazil,BRA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3299083288866
Brazil,BRA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3175012622426
Brazil,BRA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3050941955985
Brazil,BRA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2926871289545
Brazil,BRA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2802800623105
Brazil,BRA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2678729956665
Brazil,BRA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2554659290225
Brazil,BRA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4248576836473
Brazil,BRA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.594728013649
Brazil,BRA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7645983436506
Brazil,BRA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9344686736523
Brazil,BRA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1043390036539
Brazil,BRA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2742093336556
Brazil,BRA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4440796636572
Brazil,BRA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6139499936589
Brazil,BRA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7838203236605
Brazil,BRA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9536555980158
Brazil,BRA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7269894976634
Brazil,BRA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5000490539761
Brazil,BRA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2731086102889
Brazil,BRA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0461681666017
Brazil,BRA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.819252608834
Brazil,BRA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2241192418409
Brazil,BRA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.6353518845102
Brazil,BRA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.0465845271795
Brazil,BRA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.4578171698488
Brazil,BRA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8690498125181
Brazil,BRA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.4494588508927
Brazil,BRA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0299875331114
Brazil,BRA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.6105162153302
Brazil,BRA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.191044897549
Brazil,BRA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.7715735797677
Brazil,BRA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.3273359862362
Brazil,BRA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.8838162557698
Brazil,BRA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.4402965253035
Brazil,BRA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.9967767948371
Brazil,BRA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.5532570643708
Brazil,BRA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.1097373339044
Brazil,BRA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.6662176034381
Brazil,BRA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.2226978729717
Brazil,BRA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.7791781425054
Brazil,BRA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,6.96958414192631
Brazil,BRA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,6.89510824178585
Brazil,BRA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,6.82061918082253
Brazil,BRA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,6.74611815547478
Brazil,BRA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,6.67158004053533
Brazil,BRA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,6.59716156944009
Brazil,BRA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,6.52274309834485
Brazil,BRA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,6.4482049834054
Brazil,BRA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,6.37366686846595
Brazil,BRA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,6.29924839737071
Brazil,BRA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,6.22471028243126
Brazil,BRA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,6.15029181133602
Brazil,BRA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,6.07575369639657
Brazil,BRA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,6.00121558145712
Brazil,BRA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,5.92679711036187
Brazil,BRA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,5.85225899542243
Brazil,BRA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,5.78274592193957
Brazil,BRA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,5.71371142383353
Brazil,BRA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,5.64467692572749
Brazil,BRA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,5.57564242762146
Brazil,BRA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,5.50660792951542
Brazil,BRA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,5.43757343140938
Brazil,BRA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,5.36853893330334
Brazil,BRA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,5.2995044351973
Brazil,BRA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,5.23046993709127
Brazil,BRA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,5.16143543898523
Brazil,BRA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,5.09240094087919
Brazil,BRA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,5.13104590255727
Brazil,BRA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,5.26420950115696
Brazil,BRA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,5.39749274360085
Brazil,BRA,1991,Arable land (% of land area),AG.LND.ARBL.ZS,5.53065634220054
Brazil,BRA,1990,Arable land (% of land area),AG.LND.ARBL.ZS,5.66393958464443
Brazil,BRA,1989,Arable land (% of land area),AG.LND.ARBL.ZS,5.79722282708832
Brazil,BRA,1988,Arable land (% of land area),AG.LND.ARBL.ZS,5.93038642568801
Brazil,BRA,1987,Arable land (% of land area),AG.LND.ARBL.ZS,6.0636696681319
Brazil,BRA,1986,Arable land (% of land area),AG.LND.ARBL.ZS,6.19683326673159
Brazil,BRA,1985,Arable land (% of land area),AG.LND.ARBL.ZS,6.33008145352913
Brazil,BRA,1984,Arable land (% of land area),AG.LND.ARBL.ZS,6.1657258672384
Brazil,BRA,1983,Arable land (% of land area),AG.LND.ARBL.ZS,6.04644095456645
Brazil,BRA,1982,Arable land (% of land area),AG.LND.ARBL.ZS,5.92715604189449
Brazil,BRA,1981,Arable land (% of land area),AG.LND.ARBL.ZS,5.80787112922253
Brazil,BRA,1980,Arable land (% of land area),AG.LND.ARBL.ZS,5.68861110247017
Brazil,BRA,1979,Arable land (% of land area),AG.LND.ARBL.ZS,5.36004422036482
Brazil,BRA,1978,Arable land (% of land area),AG.LND.ARBL.ZS,5.03174151186747
Brazil,BRA,1977,Arable land (% of land area),AG.LND.ARBL.ZS,4.70331915952592
Brazil,BRA,1976,Arable land (% of land area),AG.LND.ARBL.ZS,4.37501645102858
Brazil,BRA,1975,Arable land (% of land area),AG.LND.ARBL.ZS,4.04659409868703
Brazil,BRA,1974,Arable land (% of land area),AG.LND.ARBL.ZS,3.91199477395689
Brazil,BRA,1973,Arable land (% of land area),AG.LND.ARBL.ZS,3.77763473691515
Brazil,BRA,1972,Arable land (% of land area),AG.LND.ARBL.ZS,3.64339434371762
Brazil,BRA,1971,Arable land (% of land area),AG.LND.ARBL.ZS,3.50903430667589
Brazil,BRA,1970,Arable land (% of land area),AG.LND.ARBL.ZS,3.37467426963415
Brazil,BRA,1969,Arable land (% of land area),AG.LND.ARBL.ZS,3.33339714338358
Brazil,BRA,1968,Arable land (% of land area),AG.LND.ARBL.ZS,3.27010554979936
Brazil,BRA,1967,Arable land (% of land area),AG.LND.ARBL.ZS,3.20681395621514
Brazil,BRA,1966,Arable land (% of land area),AG.LND.ARBL.ZS,3.14352236263092
Brazil,BRA,1965,Arable land (% of land area),AG.LND.ARBL.ZS,3.0802307690467
Brazil,BRA,1964,Arable land (% of land area),AG.LND.ARBL.ZS,3.01693917546248
Brazil,BRA,1963,Arable land (% of land area),AG.LND.ARBL.ZS,2.95364758187826
Brazil,BRA,1962,Arable land (% of land area),AG.LND.ARBL.ZS,2.89023634444984
Brazil,BRA,1961,Arable land (% of land area),AG.LND.ARBL.ZS,2.82694475086562
Brazil,BRA,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,70563.6505162
Brazil,BRA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,70765.7072466
Brazil,BRA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,70952.5256573
Brazil,BRA,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.836919971236929
Brazil,BRA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.839316464498962
Brazil,BRA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.841532223714631
Brazil,BRA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,1503.744113778
Brazil,BRA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,1301.687383384
Brazil,BRA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,1114.868972724
Brazil,BRA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0178351526776787
Brazil,BRA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.015438659415889
Brazil,BRA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0132229002008803
