Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
British Virgin Islands,VGB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
British Virgin Islands,VGB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
British Virgin Islands,VGB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
British Virgin Islands,VGB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
