Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Brunei Darussalam,BRN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,134.0
Brunei Darussalam,BRN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,124.0
Brunei Darussalam,BRN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,124.0
Brunei Darussalam,BRN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,123.0
Brunei Darussalam,BRN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Brunei Darussalam,BRN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Brunei Darussalam,BRN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Brunei Darussalam,BRN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Brunei Darussalam,BRN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Brunei Darussalam,BRN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Brunei Darussalam,BRN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
