Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Burundi,BDI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,20220.0
Burundi,BDI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,19950.0
Burundi,BDI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,19680.0
Burundi,BDI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,19410.0
Burundi,BDI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,19140.0
Burundi,BDI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,18870.0
Burundi,BDI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,18600.0
Burundi,BDI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,18410.0
Burundi,BDI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,18330.0
Burundi,BDI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,18310.0
Burundi,BDI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,18280.0
Burundi,BDI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,18250.0
Burundi,BDI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,18220.0
Burundi,BDI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,18190.0
Burundi,BDI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,18480.0
Burundi,BDI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,18330.0
Burundi,BDI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,18340.0
Burundi,BDI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,18510.0
Burundi,BDI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,18670.0
Burundi,BDI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,18870.0
Burundi,BDI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,19130.0
Burundi,BDI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,19520.0
Burundi,BDI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,19930.0
Burundi,BDI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,20370.0
Burundi,BDI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,20730.0
Burundi,BDI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,20770.0
Burundi,BDI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,20820.0
Burundi,BDI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,20770.0
Burundi,BDI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,20820.0
Burundi,BDI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,20870.0
Burundi,BDI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,20920.0
Burundi,BDI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,20870.0
Burundi,BDI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,20820.0
Burundi,BDI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
Burundi,BDI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
Burundi,BDI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
Burundi,BDI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
Burundi,BDI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,20750.0
Burundi,BDI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,20880.0
Burundi,BDI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,21000.0
Burundi,BDI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,21200.0
Burundi,BDI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,21430.0
Burundi,BDI,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,20950.0
Burundi,BDI,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,20600.0
Burundi,BDI,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,20300.0
Burundi,BDI,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,20000.0
Burundi,BDI,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,19060.0
Burundi,BDI,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,18990.0
Burundi,BDI,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,18800.0
Burundi,BDI,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,18970.0
Burundi,BDI,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,16760.0
Burundi,BDI,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,16660.0
Burundi,BDI,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,16210.0
