Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Cambodia,KHM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,58558.838
Cambodia,KHM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,57841.319
Cambodia,KHM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,57003.8
Cambodia,KHM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,56476.28
Cambodia,KHM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,56018.761
Cambodia,KHM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,55721.242
Cambodia,KHM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,55323.722
Cambodia,KHM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,54506.938
Cambodia,KHM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,54030.0
Cambodia,KHM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,53550.0
Cambodia,KHM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,53550.0
Cambodia,KHM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,53550.0
Cambodia,KHM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,53550.0
Cambodia,KHM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,53560.0
Cambodia,KHM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,52300.0
Cambodia,KHM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,51000.0
Cambodia,KHM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,50000.0
Cambodia,KHM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,48900.0
Cambodia,KHM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,47700.0
Cambodia,KHM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,46400.0
Cambodia,KHM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,46300.0
Cambodia,KHM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,45800.0
Cambodia,KHM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,45800.0
Cambodia,KHM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,45700.0
Cambodia,KHM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,45700.0
Cambodia,KHM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,45310.0
Cambodia,KHM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,45150.0
Cambodia,KHM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,45100.0
Cambodia,KHM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,44550.0
Cambodia,KHM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,44350.0
