Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Cayman Islands,CYM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
Cayman Islands,CYM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,27.0
