Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Central African Republic,CAF,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,49090.0
Central African Republic,CAF,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,49070.0
Central African Republic,CAF,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,49070.0
Central African Republic,CAF,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,49070.0
Central African Republic,CAF,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,49070.0
Central African Republic,CAF,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,48860.0
Central African Republic,CAF,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,48800.0
Central African Republic,CAF,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,48750.0
Central African Republic,CAF,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,49070.0
Central African Republic,CAF,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,49360.0
Central African Republic,CAF,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,49400.0
Central African Republic,CAF,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,49400.0
Central African Republic,CAF,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,49400.0
Central African Republic,CAF,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,49450.0
Central African Republic,CAF,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,49450.0
Central African Republic,CAF,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,49450.0
Central African Republic,CAF,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,49520.0
Central African Republic,CAF,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,49520.0
Central African Republic,CAF,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,49520.0
Central African Republic,CAF,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,49600.0
Central African Republic,CAF,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,49600.0
Central African Republic,CAF,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,49600.0
Central African Republic,CAF,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,49580.0
Central African Republic,CAF,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,49560.0
Central African Republic,CAF,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,49560.0
Central African Republic,CAF,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,49560.0
Central African Republic,CAF,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,49550.0
Central African Republic,CAF,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,49540.0
Central African Republic,CAF,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,49530.0
Central African Republic,CAF,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,49520.0
Central African Republic,CAF,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,49500.0
Central African Republic,CAF,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,49450.0
Central African Republic,CAF,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,49450.0
Central African Republic,CAF,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,49300.0
Central African Republic,CAF,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,49200.0
Central African Republic,CAF,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,49100.0
Central African Republic,CAF,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,49000.0
Central African Republic,CAF,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,48900.0
Central African Republic,CAF,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,48700.0
Central African Republic,CAF,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,48600.0
Central African Republic,CAF,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,48500.0
Central African Republic,CAF,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,48400.0
Central African Republic,CAF,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,48300.0
Central African Republic,CAF,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,48200.0
Central African Republic,CAF,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,48100.0
Central African Republic,CAF,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,48000.0
Central African Republic,CAF,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,47900.0
Central African Republic,CAF,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,47800.0
Central African Republic,CAF,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,47700.0
Central African Republic,CAF,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,47560.0
