Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Chad,TCD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,503380.0
Chad,TCD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,503380.0
Chad,TCD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,503380.0
Chad,TCD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,502370.0
Chad,TCD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,502360.0
Chad,TCD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,500360.0
Chad,TCD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,496850.0
Chad,TCD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,493350.0
Chad,TCD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,492350.0
Chad,TCD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,490350.0
Chad,TCD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,489310.0
Chad,TCD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,489310.0
Chad,TCD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,489300.0
Chad,TCD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,489300.0
Chad,TCD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,488300.0
Chad,TCD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,488300.0
Chad,TCD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,487300.0
Chad,TCD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,487300.0
Chad,TCD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,486300.0
Chad,TCD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,486300.0
Chad,TCD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,486300.0
Chad,TCD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,486300.0
Chad,TCD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,484300.0
Chad,TCD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,484500.0
Chad,TCD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,484200.0
Chad,TCD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,484000.0
Chad,TCD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,483700.0
Chad,TCD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,483500.0
Chad,TCD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,483000.0
Chad,TCD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,482500.0
Chad,TCD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,482300.0
Chad,TCD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,482050.0
Chad,TCD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,482050.0
Chad,TCD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,481550.0
Chad,TCD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,481500.0
Chad,TCD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,481000.0
Chad,TCD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,481000.0
Chad,TCD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,480000.0
Chad,TCD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,479200.0
Chad,TCD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,479100.0
Chad,TCD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,479000.0
Chad,TCD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.9761753494282
Chad,TCD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.8959656925032
Chad,TCD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.8951715374841
Chad,TCD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.7363405336722
Chad,TCD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.4575921219822
Chad,TCD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.1796378653113
Chad,TCD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.1002223634053
Chad,TCD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.9413913595934
Chad,TCD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8587992376112
Chad,TCD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8587992376112
Chad,TCD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8580050825921
Chad,TCD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8580050825921
Chad,TCD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.7785895806862
Chad,TCD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.7785895806862
Chad,TCD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6991740787802
Chad,TCD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6991740787802
Chad,TCD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6197585768742
Chad,TCD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6197585768742
Chad,TCD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6197585768742
Chad,TCD,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6197585768742
Chad,TCD,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4609275730623
Chad,TCD,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4768106734435
Chad,TCD,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4529860228717
Chad,TCD,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4371029224905
Chad,TCD,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4132782719187
Chad,TCD,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.3973951715375
Chad,TCD,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.3576874205845
Chad,TCD,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.3179796696315
