Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Chile,CHL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,116982.15
Chile,CHL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,120647.41
Chile,CHL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,124312.67
Chile,CHL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,127977.92
Chile,CHL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,131653.19
Chile,CHL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,135318.45
Chile,CHL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,138983.7
Chile,CHL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,142648.96
Chile,CHL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,146314.22
Chile,CHL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,149989.49
Chile,CHL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,153654.74
Chile,CHL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,157320.0
Chile,CHL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,158000.0
Chile,CHL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,158850.0
Chile,CHL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,159350.0
Chile,CHL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,154250.0
Chile,CHL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,155650.0
Chile,CHL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,151500.0
Chile,CHL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,151100.0
Chile,CHL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,150600.0
Chile,CHL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,152190.0
Chile,CHL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,152220.0
Chile,CHL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,152320.0
Chile,CHL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,153300.0
Chile,CHL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Chile,CHL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,154770.0
Chile,CHL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,155560.0
Chile,CHL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,157890.0
Chile,CHL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,158990.0
Chile,CHL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,161690.0
Chile,CHL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,161540.0
Chile,CHL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,161630.0
Chile,CHL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,164360.0
Chile,CHL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,164720.0
