Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
China,CHN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,5214469.0
China,CHN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,5221992.0
China,CHN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,5229515.0
China,CHN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,5237038.0
China,CHN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,5244561.0
China,CHN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,5252084.0
China,CHN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,5259607.0
China,CHN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,5267130.0
China,CHN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,5274623.0
China,CHN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,5282176.0
China,CHN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,5276237.556
China,CHN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,5270299.111
China,CHN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,5264360.667
China,CHN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,5258422.222
China,CHN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,5252483.778
China,CHN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,5246545.333
China,CHN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,5240606.889
China,CHN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,5234668.444
China,CHN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,5228730.0
China,CHN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,5228727.5
China,CHN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,5228725.0
China,CHN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,5228722.5
China,CHN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,5228720.0
China,CHN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,5228330.0
China,CHN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,5228330.0
China,CHN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,5182230.0
China,CHN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,5143140.0
China,CHN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,5113790.0
China,CHN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,5056940.0
China,CHN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,4994850.0
China,CHN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,4933750.0
China,CHN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,4877660.0
China,CHN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,4824560.0
China,CHN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,4763470.0
China,CHN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,4645370.0
