Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Colombia,COL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,440480.0
Colombia,COL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,434870.0
Colombia,COL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,447688.0
Colombia,COL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,447844.0
Colombia,COL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,448000.0
Colombia,COL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,448156.0
Colombia,COL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,426176.0
Colombia,COL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,417210.0
Colombia,COL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,425030.0
Colombia,COL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,425400.0
Colombia,COL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,426140.0
Colombia,COL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,424360.0
Colombia,COL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,421740.0
Colombia,COL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,425570.0
Colombia,COL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,423910.0
Colombia,COL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,420510.0
Colombia,COL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,416070.0
Colombia,COL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,417450.0
Colombia,COL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,448590.0
Colombia,COL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,456680.0
Colombia,COL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,455430.0
Colombia,COL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,450820.0
Colombia,COL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,449200.0
Colombia,COL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,445130.0
Colombia,COL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,448650.0
Colombia,COL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,449030.0
Colombia,COL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,449830.0
Colombia,COL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,448840.0
Colombia,COL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,450830.0
