Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Cuba,CUB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,63000.0
Cuba,CUB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,63000.0
Cuba,CUB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,62267.0
Cuba,CUB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,62403.0
Cuba,CUB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,62788.8
Cuba,CUB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,63423.0
Cuba,CUB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,64056.0
Cuba,CUB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,64078.0
Cuba,CUB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,64612.0
Cuba,CUB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,65138.0
Cuba,CUB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,65670.0
Cuba,CUB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,66200.0
Cuba,CUB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,66300.0
Cuba,CUB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,66370.0
Cuba,CUB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,65280.0
Cuba,CUB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,66380.0
Cuba,CUB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,66540.0
Cuba,CUB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,66560.0
Cuba,CUB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,65540.0
Cuba,CUB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,66600.0
Cuba,CUB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,66740.0
Cuba,CUB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,66870.0
Cuba,CUB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,66150.0
Cuba,CUB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,66840.0
Cuba,CUB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,66860.0
Cuba,CUB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,67300.0
Cuba,CUB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,67750.0
Cuba,CUB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,67550.0
Cuba,CUB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,67410.0
Cuba,CUB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,67720.0
Cuba,CUB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,67880.0
Cuba,CUB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,67260.0
Cuba,CUB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,64510.0
Cuba,CUB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,62220.0
Cuba,CUB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,61420.0
Cuba,CUB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,61790.0
