Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Cyprus,CYP,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1324.469
Cyprus,CYP,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1214.2
Cyprus,CYP,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1093.9
Cyprus,CYP,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1266.8
Cyprus,CYP,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1089.8
Cyprus,CYP,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1088.3
Cyprus,CYP,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1169.0
Cyprus,CYP,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1163.0
Cyprus,CYP,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1145.0
Cyprus,CYP,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1276.0
Cyprus,CYP,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1156.0
Cyprus,CYP,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1472.0
Cyprus,CYP,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1570.0
Cyprus,CYP,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1670.0
Cyprus,CYP,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1560.0
Cyprus,CYP,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1540.0
Cyprus,CYP,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1400.0
Cyprus,CYP,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1400.0
Cyprus,CYP,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1415.0
Cyprus,CYP,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1442.0
Cyprus,CYP,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1442.0
Cyprus,CYP,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1422.0
Cyprus,CYP,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1432.0
Cyprus,CYP,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1431.0
Cyprus,CYP,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1434.0
Cyprus,CYP,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1587.0
Cyprus,CYP,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1596.0
Cyprus,CYP,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1592.0
Cyprus,CYP,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1606.0
Cyprus,CYP,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1614.0
Cyprus,CYP,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1614.0
Cyprus,CYP,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1624.0
Cyprus,CYP,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1632.0
Cyprus,CYP,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,1628.0
Cyprus,CYP,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,1820.0
Cyprus,CYP,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,1830.0
Cyprus,CYP,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,1820.0
Cyprus,CYP,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,1759.0
Cyprus,CYP,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,1715.0
Cyprus,CYP,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,1725.0
Cyprus,CYP,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,1743.0
Cyprus,CYP,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,1761.0
Cyprus,CYP,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,1779.0
Cyprus,CYP,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,1803.0
Cyprus,CYP,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2870.0
Cyprus,CYP,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,3942.0
Cyprus,CYP,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,3940.0
Cyprus,CYP,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,3960.0
Cyprus,CYP,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,3980.0
Cyprus,CYP,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,3990.0
Cyprus,CYP,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,4010.0
Cyprus,CYP,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,4010.0
Cyprus,CYP,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,4000.0
Cyprus,CYP,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,4020.0
Cyprus,CYP,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,4030.0
Cyprus,CYP,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,4050.0
Cyprus,CYP,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,4020.0
Cyprus,CYP,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,4040.0
Cyprus,CYP,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.3262878787879
Cyprus,CYP,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.8148593073593
Cyprus,CYP,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.5636796536797
Cyprus,CYP,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.3340800865801
Cyprus,CYP,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1406926406926
Cyprus,CYP,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.8387445887446
Cyprus,CYP,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.7099567099567
Cyprus,CYP,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7943722943723
Cyprus,CYP,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7781385281385
Cyprus,CYP,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.6515151515152
Cyprus,CYP,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.5865800865801
Cyprus,CYP,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.3917748917749
Cyprus,CYP,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.8095238095238
Cyprus,CYP,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.5108225108225
Cyprus,CYP,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.9307359307359
Cyprus,CYP,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.991341991342
Cyprus,CYP,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.0735930735931
Cyprus,CYP,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.8831168831169
Cyprus,CYP,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.6666666666667
Cyprus,CYP,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.1515151515152
Cyprus,CYP,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.1515151515152
Cyprus,CYP,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.3138528138528
Cyprus,CYP,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.6060606060606
Cyprus,CYP,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.6060606060606
Cyprus,CYP,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.3896103896104
Cyprus,CYP,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.4978354978355
Cyprus,CYP,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.487012987013
Cyprus,CYP,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.5194805194805
Cyprus,CYP,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.1753246753247
Cyprus,CYP,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.2727272727273
Cyprus,CYP,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.2294372294372
Cyprus,CYP,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.3809523809524
Cyprus,CYP,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.4675324675325
Cyprus,CYP,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.4675324675325
