Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Czech Republic,CZE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,35210.0
Czech Republic,CZE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,34880.0
Czech Republic,CZE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,34940.0
Czech Republic,CZE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,35160.0
Czech Republic,CZE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,35210.0
Czech Republic,CZE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,35258.9
Czech Republic,CZE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,35040.4
Czech Republic,CZE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,35239.2
Czech Republic,CZE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,35458.7
Czech Republic,CZE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,35716.1
Czech Republic,CZE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,35967.0
Czech Republic,CZE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,35659.5
Czech Republic,CZE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,36054.9
Czech Republic,CZE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,36313.9
Czech Republic,CZE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,36684.2
Czech Republic,CZE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,36520.6
Czech Republic,CZE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,42780.0
Czech Republic,CZE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,42800.0
Czech Republic,CZE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,42840.0
Czech Republic,CZE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,42800.0
Czech Republic,CZE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,42800.0
Czech Republic,CZE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,42800.0
Czech Republic,CZE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,42840.0
Czech Republic,CZE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,42820.0
Czech Republic,CZE,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.6468665918898
