Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Denmark,DNK,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,26325.0
Denmark,DNK,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,26313.0
Denmark,DNK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,26251.0
Denmark,DNK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,26338.99
Denmark,DNK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,26526.31
Denmark,DNK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,26280.0
Denmark,DNK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,26240.0
Denmark,DNK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,26900.0
Denmark,DNK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,26260.0
Denmark,DNK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,26340.0
Denmark,DNK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,26680.0
Denmark,DNK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,26630.0
Denmark,DNK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,27100.0
Denmark,DNK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,27070.0
Denmark,DNK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,26460.0
Denmark,DNK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,26580.0
Denmark,DNK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,26650.0
Denmark,DNK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,26760.0
Denmark,DNK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,26470.0
Denmark,DNK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,26440.0
Denmark,DNK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,26720.0
Denmark,DNK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,26880.0
Denmark,DNK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,27160.0
Denmark,DNK,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,27260.0
Denmark,DNK,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,26910.0
Denmark,DNK,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,27390.0
Denmark,DNK,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,27560.0
Denmark,DNK,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,27700.0
Denmark,DNK,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,27880.0
Denmark,DNK,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,27740.0
Denmark,DNK,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,27870.0
Denmark,DNK,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,27980.0
Denmark,DNK,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,28190.0
Denmark,DNK,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,28340.0
Denmark,DNK,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,28550.0
Denmark,DNK,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,28460.0
Denmark,DNK,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,28870.0
Denmark,DNK,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,28970.0
Denmark,DNK,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,29050.0
Denmark,DNK,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,29200.0
Denmark,DNK,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,29210.0
Denmark,DNK,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,29270.0
Denmark,DNK,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,29330.0
Denmark,DNK,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,29370.0
Denmark,DNK,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,29320.0
Denmark,DNK,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,29860.0
Denmark,DNK,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,29560.0
Denmark,DNK,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,29510.0
Denmark,DNK,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,29750.0
Denmark,DNK,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,29910.0
Denmark,DNK,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,30170.0
Denmark,DNK,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,30230.0
Denmark,DNK,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,30270.0
Denmark,DNK,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,30330.0
Denmark,DNK,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,30680.0
Denmark,DNK,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,30880.0
Denmark,DNK,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,31410.0
Denmark,DNK,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,31600.0
Denmark,DNK,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.45
Denmark,DNK,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.499675
Denmark,DNK,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.649125
Denmark,DNK,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.8125
Denmark,DNK,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.7825
Denmark,DNK,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.6275
Denmark,DNK,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.847475
Denmark,DNK,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.315775
Denmark,DNK,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.7
Denmark,DNK,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.6
Denmark,DNK,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.25
Denmark,DNK,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.65
Denmark,DNK,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.85
Denmark,DNK,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.7
Denmark,DNK,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.575
Denmark,DNK,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.75
Denmark,DNK,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.675
Denmark,DNK,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.15
Denmark,DNK,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.45
Denmark,DNK,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.625
Denmark,DNK,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.9
Denmark,DNK,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.175
Denmark,DNK,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.1
Denmark,DNK,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.8
Denmark,DNK,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.2
Denmark,DNK,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.9
Denmark,DNK,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.15
Denmark,DNK,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.275
Denmark,DNK,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.475
Denmark,DNK,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.9
Denmark,DNK,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.25
Denmark,DNK,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.7
Denmark,DNK,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.35
Denmark,DNK,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.675
Denmark,DNK,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.95
Denmark,DNK,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.475
Denmark,DNK,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.85
Denmark,DNK,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.375
Denmark,DNK,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.15
Denmark,DNK,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.175
Denmark,DNK,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.425
Denmark,DNK,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.625
Denmark,DNK,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.0
Denmark,DNK,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.025
Denmark,DNK,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.175
Denmark,DNK,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.325
Denmark,DNK,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.425
Denmark,DNK,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3
Denmark,DNK,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.65
Denmark,DNK,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.9
Denmark,DNK,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.775
Denmark,DNK,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.375
Denmark,DNK,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.775
Denmark,DNK,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.425
Denmark,DNK,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.575
Denmark,DNK,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.675
Denmark,DNK,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.825
Denmark,DNK,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7
Denmark,DNK,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2
Denmark,DNK,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,78.525
Denmark,DNK,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.0
Denmark,DNK,2021,Arable land (% of land area),AG.LND.ARBL.ZS,58.925
Denmark,DNK,2020,Arable land (% of land area),AG.LND.ARBL.ZS,59.27325
Denmark,DNK,2019,Arable land (% of land area),AG.LND.ARBL.ZS,59.8983
Denmark,DNK,2018,Arable land (% of land area),AG.LND.ARBL.ZS,59.71
Denmark,DNK,2017,Arable land (% of land area),AG.LND.ARBL.ZS,59.185
Denmark,DNK,2016,Arable land (% of land area),AG.LND.ARBL.ZS,59.2625
Denmark,DNK,2015,Arable land (% of land area),AG.LND.ARBL.ZS,58.791275
Denmark,DNK,2014,Arable land (% of land area),AG.LND.ARBL.ZS,60.8
Denmark,DNK,2013,Arable land (% of land area),AG.LND.ARBL.ZS,60.19
Denmark,DNK,2012,Arable land (% of land area),AG.LND.ARBL.ZS,60.45
Denmark,DNK,2011,Arable land (% of land area),AG.LND.ARBL.ZS,62.475
Denmark,DNK,2010,Arable land (% of land area),AG.LND.ARBL.ZS,60.525
Denmark,DNK,2009,Arable land (% of land area),AG.LND.ARBL.ZS,60.775
Denmark,DNK,2008,Arable land (% of land area),AG.LND.ARBL.ZS,60.05
Denmark,DNK,2007,Arable land (% of land area),AG.LND.ARBL.ZS,57.65
Denmark,DNK,2006,Arable land (% of land area),AG.LND.ARBL.ZS,58.675
Denmark,DNK,2005,Arable land (% of land area),AG.LND.ARBL.ZS,58.3
Denmark,DNK,2004,Arable land (% of land area),AG.LND.ARBL.ZS,56.725
Denmark,DNK,2003,Arable land (% of land area),AG.LND.ARBL.ZS,56.65
Denmark,DNK,2002,Arable land (% of land area),AG.LND.ARBL.ZS,56.9
Denmark,DNK,2001,Arable land (% of land area),AG.LND.ARBL.ZS,57.3
Denmark,DNK,2000,Arable land (% of land area),AG.LND.ARBL.ZS,57.025
Denmark,DNK,1999,Arable land (% of land area),AG.LND.ARBL.ZS,57.35
Denmark,DNK,1998,Arable land (% of land area),AG.LND.ARBL.ZS,59.15
Denmark,DNK,1997,Arable land (% of land area),AG.LND.ARBL.ZS,59.125
Denmark,DNK,1996,Arable land (% of land area),AG.LND.ARBL.ZS,58.05
Denmark,DNK,1995,Arable land (% of land area),AG.LND.ARBL.ZS,57.975
Denmark,DNK,1994,Arable land (% of land area),AG.LND.ARBL.ZS,59.125
Denmark,DNK,1993,Arable land (% of land area),AG.LND.ARBL.ZS,63.325
Denmark,DNK,1992,Arable land (% of land area),AG.LND.ARBL.ZS,63.475
Denmark,DNK,1991,Arable land (% of land area),AG.LND.ARBL.ZS,63.7
Denmark,DNK,1990,Arable land (% of land area),AG.LND.ARBL.ZS,64.025
