Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Dominica,DMA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,250.0
Dominica,DMA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,230.0
Dominica,DMA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Dominica,DMA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,210.0
Dominica,DMA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Dominica,DMA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Dominica,DMA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Dominica,DMA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Dominica,DMA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Dominica,DMA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0
Dominica,DMA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,170.0
Dominica,DMA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.3333333333333
Dominica,DMA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.6666666666667
Dominica,DMA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3333333333333
Dominica,DMA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0
Dominica,DMA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.6666666666667
Dominica,DMA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.6666666666667
Dominica,DMA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.6666666666667
Dominica,DMA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.6666666666667
Dominica,DMA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.0
Dominica,DMA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
Dominica,DMA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3333333333333
