Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Dominican Republic,DOM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,24290.0
Dominican Republic,DOM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,24290.0
Dominican Republic,DOM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,24290.0
Dominican Republic,DOM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,24290.0
Dominican Republic,DOM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,23520.0
Dominican Republic,DOM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,23520.0
Dominican Republic,DOM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,23520.0
Dominican Republic,DOM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,23970.0
Dominican Republic,DOM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,23970.0
Dominican Republic,DOM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,23970.0
Dominican Republic,DOM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,23970.0
Dominican Republic,DOM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,24170.0
Dominican Republic,DOM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,24170.0
Dominican Republic,DOM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,24170.0
Dominican Republic,DOM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,24170.0
Dominican Republic,DOM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,24350.0
Dominican Republic,DOM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,25150.0
Dominican Republic,DOM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,25150.0
Dominican Republic,DOM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,25150.0
Dominican Republic,DOM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,24670.0
Dominican Republic,DOM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,25100.0
Dominican Republic,DOM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,25000.0
Dominican Republic,DOM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,25750.0
Dominican Republic,DOM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,25760.0
Dominican Republic,DOM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,25460.0
Dominican Republic,DOM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,25460.0
Dominican Republic,DOM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,25460.0
Dominican Republic,DOM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,25460.0
Dominican Republic,DOM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,25460.0
Dominican Republic,DOM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,26410.0
Dominican Republic,DOM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,26370.0
Dominican Republic,DOM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,26370.0
Dominican Republic,DOM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,26370.0
Dominican Republic,DOM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
Dominican Republic,DOM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
Dominican Republic,DOM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
Dominican Republic,DOM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
Dominican Republic,DOM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,26250.0
Dominican Republic,DOM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,26200.0
Dominican Republic,DOM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,25900.0
Dominican Republic,DOM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,25650.0
Dominican Republic,DOM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,25400.0
Dominican Republic,DOM,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,25100.0
Dominican Republic,DOM,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,24550.0
Dominican Republic,DOM,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,24250.0
Dominican Republic,DOM,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,24050.0
Dominican Republic,DOM,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,23700.0
Dominican Republic,DOM,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,23440.0
Dominican Republic,DOM,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,23350.0
Dominican Republic,DOM,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,23300.0
Dominican Republic,DOM,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,22900.0
Dominican Republic,DOM,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,22800.0
Dominican Republic,DOM,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,22650.0
Dominican Republic,DOM,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,22500.0
Dominican Republic,DOM,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,22350.0
Dominican Republic,DOM,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,22200.0
Dominican Republic,DOM,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,22050.0
Dominican Republic,DOM,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,21900.0
Dominican Republic,DOM,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1034903536639
Dominican Republic,DOM,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1034903536639
