Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ecuador,ECU,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,54480.0
Ecuador,ECU,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,55900.0
Ecuador,ECU,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,55160.0
Ecuador,ECU,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,57890.0
Ecuador,ECU,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,54750.0
Ecuador,ECU,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,75130.0
Ecuador,ECU,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,75069.0
Ecuador,ECU,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,73461.0
Ecuador,ECU,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,74977.0
Ecuador,ECU,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,75344.0
Ecuador,ECU,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,74450.0
Ecuador,ECU,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,74120.0
Ecuador,ECU,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,74440.0
Ecuador,ECU,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,75000.0
Ecuador,ECU,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,75270.0
Ecuador,ECU,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,72500.0
Ecuador,ECU,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,74900.0
Ecuador,ECU,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,77850.0
Ecuador,ECU,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,80660.0
Ecuador,ECU,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,80750.0
Ecuador,ECU,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,80270.0
Ecuador,ECU,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,80120.0
Ecuador,ECU,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,79870.0
Ecuador,ECU,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,81080.0
Ecuador,ECU,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,81290.0
Ecuador,ECU,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,79750.0
Ecuador,ECU,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,79530.0
Ecuador,ECU,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,79140.0
Ecuador,ECU,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,78460.0
Ecuador,ECU,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,77530.0
Ecuador,ECU,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,77260.0
Ecuador,ECU,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,77210.0
Ecuador,ECU,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,75800.0
Ecuador,ECU,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,74200.0
Ecuador,ECU,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,72550.0
Ecuador,ECU,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,70950.0
Ecuador,ECU,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,69600.0
Ecuador,ECU,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,67590.0
Ecuador,ECU,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,64780.0
Ecuador,ECU,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,61900.0
Ecuador,ECU,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,60050.0
Ecuador,ECU,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,58350.0
Ecuador,ECU,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,55550.0
Ecuador,ECU,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,53850.0
Ecuador,ECU,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,51680.0
Ecuador,ECU,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,50350.0
Ecuador,ECU,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,49750.0
Ecuador,ECU,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,49150.0
Ecuador,ECU,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,48550.0
Ecuador,ECU,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,47950.0
Ecuador,ECU,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,47350.0
Ecuador,ECU,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,47400.0
Ecuador,ECU,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,47300.0
Ecuador,ECU,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,47300.0
Ecuador,ECU,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,47200.0
Ecuador,ECU,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,47200.0
Ecuador,ECU,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,47100.0
Ecuador,ECU,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,47100.0
Ecuador,ECU,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.024480592688
Ecuador,ECU,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.8231599291351
Ecuador,ECU,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.4607827347399
Ecuador,ECU,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.9358995007248
Ecuador,ECU,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.507650185215
Ecuador,ECU,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.2096956031567
Ecuador,ECU,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.3089064261556
Ecuador,ECU,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.0446126590433
Ecuador,ECU,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.2504429054598
Ecuador,ECU,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.2258817845064
Ecuador,ECU,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5784345305202
Ecuador,ECU,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.1888387824126
Ecuador,ECU,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3366081494605
Ecuador,ECU,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.9766468030279
Ecuador,ECU,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.8437751650829
Ecuador,ECU,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.9726203897568
Ecuador,ECU,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.1980995329361
Ecuador,ECU,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3068126912546
Ecuador,ECU,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.1914962151715
Ecuador,ECU,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.1578354002255
Ecuador,ECU,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.3456273151876
Ecuador,ECU,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.477049444355
Ecuador,ECU,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5132871637945
Ecuador,ECU,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.3200193267837
Ecuador,ECU,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9409044935703
Ecuador,ECU,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8505996243317
Ecuador,ECU,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.2876751914463
Ecuador,ECU,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3635312816067
Ecuador,ECU,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8072532870972
Ecuador,ECU,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7277850021673
Ecuador,ECU,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5869094061552
Ecuador,ECU,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3412801618263
Ecuador,ECU,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0053460482589
Ecuador,ECU,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9078167894813
Ecuador,ECU,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8897558156336
Ecuador,ECU,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3804363531282
Ecuador,ECU,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.8024851900014
Ecuador,ECU,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.206473053027
Ecuador,ECU,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.6285218899003
Ecuador,ECU,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.1408755960121
Ecuador,ECU,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.4148244473342
Ecuador,ECU,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.3997977170929
Ecuador,ECU,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.3594856234648
Ecuador,ECU,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.6912295910996
Ecuador,ECU,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.0771564802774
Ecuador,ECU,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.0657419448057
Ecuador,ECU,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4516688339835
Ecuador,ECU,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.6678225689929
Ecuador,ECU,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.1874006646438
Ecuador,ECU,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.9706689784713
Ecuador,ECU,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.7539372922988
Ecuador,ECU,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.5372056061263
Ecuador,ECU,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.3204739199538
Ecuador,ECU,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.1037422337812
Ecuador,ECU,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.121803207629
Ecuador,ECU,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0856812599335
Ecuador,ECU,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0856812599335
Ecuador,ECU,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0495593122381
Ecuador,ECU,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0495593122381
Ecuador,ECU,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0134373645427
Ecuador,ECU,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0134373645427
Ecuador,ECU,2021,Arable land (% of land area),AG.LND.ARBL.ZS,4.12304718956354
Ecuador,ECU,2020,Arable land (% of land area),AG.LND.ARBL.ZS,4.17941697535835
Ecuador,ECU,2019,Arable land (% of land area),AG.LND.ARBL.ZS,3.9821227250765
Ecuador,ECU,2018,Arable land (% of land area),AG.LND.ARBL.ZS,3.89756804638428
Ecuador,ECU,2017,Arable land (% of land area),AG.LND.ARBL.ZS,4.15928490900306
Ecuador,ECU,2016,Arable land (% of land area),AG.LND.ARBL.ZS,3.92977935255275
Ecuador,ECU,2015,Arable land (% of land area),AG.LND.ARBL.ZS,4.3002093734901
Ecuador,ECU,2014,Arable land (% of land area),AG.LND.ARBL.ZS,3.9056208729264
Ecuador,ECU,2013,Arable land (% of land area),AG.LND.ARBL.ZS,4.80753744564342
Ecuador,ECU,2012,Arable land (% of land area),AG.LND.ARBL.ZS,4.62191979384764
Ecuador,ECU,2011,Arable land (% of land area),AG.LND.ARBL.ZS,4.65332581736189
Ecuador,ECU,2010,Arable land (% of land area),AG.LND.ARBL.ZS,4.77693670478338
Ecuador,ECU,2009,Arable land (% of land area),AG.LND.ARBL.ZS,4.82928007730713
Ecuador,ECU,2008,Arable land (% of land area),AG.LND.ARBL.ZS,4.97664680302786
Ecuador,ECU,2007,Arable land (% of land area),AG.LND.ARBL.ZS,4.81156385891448
Ecuador,ECU,2006,Arable land (% of land area),AG.LND.ARBL.ZS,4.96456756321469
Ecuador,ECU,2005,Arable land (% of land area),AG.LND.ARBL.ZS,5.21823159929135
Ecuador,ECU,2004,Arable land (% of land area),AG.LND.ARBL.ZS,5.14172974714125
Ecuador,ECU,2003,Arable land (% of land area),AG.LND.ARBL.ZS,5.23031083910453
Ecuador,ECU,2002,Arable land (% of land area),AG.LND.ARBL.ZS,5.47592204863907
Ecuador,ECU,2001,Arable land (% of land area),AG.LND.ARBL.ZS,6.03961990658721
Ecuador,ECU,2000,Arable land (% of land area),AG.LND.ARBL.ZS,6.50668384602996
Ecuador,ECU,1999,Arable land (% of land area),AG.LND.ARBL.ZS,6.48252536640361
Ecuador,ECU,1998,Arable land (% of land area),AG.LND.ARBL.ZS,6.45031406023514
Ecuador,ECU,1997,Arable land (% of land area),AG.LND.ARBL.ZS,5.81202138419304
Ecuador,ECU,1996,Arable land (% of land area),AG.LND.ARBL.ZS,5.80479699465395
Ecuador,ECU,1995,Arable land (% of land area),AG.LND.ARBL.ZS,5.68559456725907
Ecuador,ECU,1994,Arable land (% of land area),AG.LND.ARBL.ZS,5.85536772142754
Ecuador,ECU,1993,Arable land (% of land area),AG.LND.ARBL.ZS,5.66753359341136
Ecuador,ECU,1992,Arable land (% of land area),AG.LND.ARBL.ZS,5.89871405866204
Ecuador,ECU,1991,Arable land (% of land area),AG.LND.ARBL.ZS,5.938448201127
Ecuador,ECU,1990,Arable land (% of land area),AG.LND.ARBL.ZS,5.79396041034533
Ecuador,ECU,1989,Arable land (% of land area),AG.LND.ARBL.ZS,5.71810432018494
Ecuador,ECU,1988,Arable land (% of land area),AG.LND.ARBL.ZS,5.86981650050571
Ecuador,ECU,1987,Arable land (% of land area),AG.LND.ARBL.ZS,5.83730674757983
Ecuador,ECU,1986,Arable land (% of land area),AG.LND.ARBL.ZS,5.79757260511487
Ecuador,ECU,1985,Arable land (% of land area),AG.LND.ARBL.ZS,5.74338968357174
Ecuador,ECU,1984,Arable land (% of land area),AG.LND.ARBL.ZS,5.68920676202861
Ecuador,ECU,1983,Arable land (% of land area),AG.LND.ARBL.ZS,5.63502384048548
Ecuador,ECU,1982,Arable land (% of land area),AG.LND.ARBL.ZS,5.60612628232914
Ecuador,ECU,1981,Arable land (% of land area),AG.LND.ARBL.ZS,5.77951163126716
Ecuador,ECU,1980,Arable land (% of land area),AG.LND.ARBL.ZS,5.57000433463372
Ecuador,ECU,1979,Arable land (% of land area),AG.LND.ARBL.ZS,5.70726773587632
Ecuador,ECU,1978,Arable land (% of land area),AG.LND.ARBL.ZS,5.81563357896258
Ecuador,ECU,1977,Arable land (% of land area),AG.LND.ARBL.ZS,5.96012136974426
Ecuador,ECU,1976,Arable land (% of land area),AG.LND.ARBL.ZS,6.06848721283052
Ecuador,ECU,1975,Arable land (% of land area),AG.LND.ARBL.ZS,6.2129750036122
Ecuador,ECU,1974,Arable land (% of land area),AG.LND.ARBL.ZS,6.33217743100708
Ecuador,ECU,1973,Arable land (% of land area),AG.LND.ARBL.ZS,6.28521889900303
Ecuador,ECU,1972,Arable land (% of land area),AG.LND.ARBL.ZS,6.26715792515532
Ecuador,ECU,1971,Arable land (% of land area),AG.LND.ARBL.ZS,6.24909695130761
Ecuador,ECU,1970,Arable land (% of land area),AG.LND.ARBL.ZS,6.2310359774599
