Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
El Salvador,SLV,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,11957.0
El Salvador,SLV,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,12052.0
El Salvador,SLV,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,12141.0
El Salvador,SLV,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
El Salvador,SLV,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,12142.0
El Salvador,SLV,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,12184.0
El Salvador,SLV,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,12222.0
El Salvador,SLV,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,12260.0
El Salvador,SLV,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,12299.0
El Salvador,SLV,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,12337.0
El Salvador,SLV,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,12375.0
El Salvador,SLV,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,12413.0
El Salvador,SLV,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,12169.0
El Salvador,SLV,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,12186.0
El Salvador,SLV,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,12807.0
El Salvador,SLV,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,12547.0
El Salvador,SLV,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,12637.0
El Salvador,SLV,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,12777.0
El Salvador,SLV,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,12867.0
El Salvador,SLV,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,12957.0
El Salvador,SLV,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,12698.0
El Salvador,SLV,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,12410.0
El Salvador,SLV,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,12461.0
El Salvador,SLV,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,12902.0
El Salvador,SLV,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,12943.0
El Salvador,SLV,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,12964.0
El Salvador,SLV,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,13015.0
El Salvador,SLV,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,12837.0
El Salvador,SLV,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,12708.0
El Salvador,SLV,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,12629.0
El Salvador,SLV,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,12680.0
El Salvador,SLV,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,12531.0
El Salvador,SLV,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,12582.0
El Salvador,SLV,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,12433.0
El Salvador,SLV,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,12285.0
El Salvador,SLV,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,12236.0
El Salvador,SLV,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,12327.0
El Salvador,SLV,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,12668.0
El Salvador,SLV,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,13119.0
El Salvador,SLV,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
El Salvador,SLV,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,12622.0
El Salvador,SLV,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,12263.0
El Salvador,SLV,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,12224.0
El Salvador,SLV,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,12355.0
El Salvador,SLV,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,12306.0
El Salvador,SLV,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,12257.0
El Salvador,SLV,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,12238.0
El Salvador,SLV,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,12260.0
El Salvador,SLV,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,11881.0
El Salvador,SLV,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,11952.0
El Salvador,SLV,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,12023.0
El Salvador,SLV,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,12134.0
El Salvador,SLV,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,12235.0
El Salvador,SLV,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,12347.0
El Salvador,SLV,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,12438.0
El Salvador,SLV,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,12519.0
El Salvador,SLV,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,12520.0
El Salvador,SLV,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,12520.0
El Salvador,SLV,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.707528957529
El Salvador,SLV,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.707528957529
El Salvador,SLV,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.707528957529
El Salvador,SLV,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.707528957529
El Salvador,SLV,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.1660231660232
El Salvador,SLV,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.5955598455598
El Salvador,SLV,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.0250965250965
El Salvador,SLV,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.6003861003861
El Salvador,SLV,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8030888030888
El Salvador,SLV,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.9864864864865
El Salvador,SLV,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.1698841698842
El Salvador,SLV,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.3581081081081
El Salvador,SLV,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.5415057915058
El Salvador,SLV,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.7249034749035
El Salvador,SLV,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.9083011583012
El Salvador,SLV,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.730694980695
El Salvador,SLV,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8127413127413
El Salvador,SLV,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.8098455598456
El Salvador,SLV,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5550193050193
El Salvador,SLV,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9893822393822
El Salvador,SLV,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6650579150579
El Salvador,SLV,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.0994208494209
El Salvador,SLV,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5337837837838
El Salvador,SLV,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.2837837837838
El Salvador,SLV,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.8938223938224
El Salvador,SLV,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1399613899614
El Salvador,SLV,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.2683397683398
El Salvador,SLV,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.4662162162162
El Salvador,SLV,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5675675675676
El Salvador,SLV,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.8137065637066
El Salvador,SLV,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.9546332046332
El Salvador,SLV,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.3320463320463
El Salvador,SLV,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9507722007722
El Salvador,SLV,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1969111969112
El Salvador,SLV,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4777992277992
El Salvador,SLV,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7239382239382
El Salvador,SLV,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.0048262548263
El Salvador,SLV,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2905405405405
El Salvador,SLV,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.054054054054
El Salvador,SLV,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.4932432432432
El Salvador,SLV,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.1389961389961
El Salvador,SLV,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.3156370656371
El Salvador,SLV,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.0791505791506
El Salvador,SLV,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9169884169884
El Salvador,SLV,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.1843629343629
El Salvador,SLV,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.996138996139
El Salvador,SLV,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2565947242206
El Salvador,SLV,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.0215827338129
El Salvador,SLV,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.7865707434053
El Salvador,SLV,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.6954436450839
El Salvador,SLV,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8009592326139
El Salvador,SLV,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.9832134292566
El Salvador,SLV,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.3237410071942
El Salvador,SLV,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.6642685851319
El Salvador,SLV,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.1966426858513
El Salvador,SLV,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.6810551558753
El Salvador,SLV,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.2182254196643
El Salvador,SLV,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.6546762589928
El Salvador,SLV,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.0431654676259
El Salvador,SLV,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.0479616306954
El Salvador,SLV,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.0479616306954
El Salvador,SLV,2021,Arable land (% of land area),AG.LND.ARBL.ZS,34.7972972972973
El Salvador,SLV,2020,Arable land (% of land area),AG.LND.ARBL.ZS,34.7972972972973
El Salvador,SLV,2019,Arable land (% of land area),AG.LND.ARBL.ZS,34.7972972972973
El Salvador,SLV,2018,Arable land (% of land area),AG.LND.ARBL.ZS,34.7972972972973
El Salvador,SLV,2017,Arable land (% of land area),AG.LND.ARBL.ZS,34.4353281853282
El Salvador,SLV,2016,Arable land (% of land area),AG.LND.ARBL.ZS,34.034749034749
El Salvador,SLV,2015,Arable land (% of land area),AG.LND.ARBL.ZS,33.6341698841699
El Salvador,SLV,2014,Arable land (% of land area),AG.LND.ARBL.ZS,33.2335907335907
El Salvador,SLV,2013,Arable land (% of land area),AG.LND.ARBL.ZS,32.8330115830116
El Salvador,SLV,2012,Arable land (% of land area),AG.LND.ARBL.ZS,32.4324324324324
El Salvador,SLV,2011,Arable land (% of land area),AG.LND.ARBL.ZS,32.0318532818533
El Salvador,SLV,2010,Arable land (% of land area),AG.LND.ARBL.ZS,31.6312741312741
El Salvador,SLV,2009,Arable land (% of land area),AG.LND.ARBL.ZS,31.230694980695
El Salvador,SLV,2008,Arable land (% of land area),AG.LND.ARBL.ZS,30.8301158301158
El Salvador,SLV,2007,Arable land (% of land area),AG.LND.ARBL.ZS,30.4295366795367
El Salvador,SLV,2006,Arable land (% of land area),AG.LND.ARBL.ZS,29.1505791505791
El Salvador,SLV,2005,Arable land (% of land area),AG.LND.ARBL.ZS,29.3243243243243
El Salvador,SLV,2004,Arable land (% of land area),AG.LND.ARBL.ZS,29.5125482625483
El Salvador,SLV,2003,Arable land (% of land area),AG.LND.ARBL.ZS,29.7007722007722
El Salvador,SLV,2002,Arable land (% of land area),AG.LND.ARBL.ZS,29.8889961389961
El Salvador,SLV,2001,Arable land (% of land area),AG.LND.ARBL.ZS,30.0772200772201
El Salvador,SLV,2000,Arable land (% of land area),AG.LND.ARBL.ZS,30.265444015444
El Salvador,SLV,1999,Arable land (% of land area),AG.LND.ARBL.ZS,30.453667953668
El Salvador,SLV,1998,Arable land (% of land area),AG.LND.ARBL.ZS,28.957528957529
El Salvador,SLV,1997,Arable land (% of land area),AG.LND.ARBL.ZS,27.2683397683398
El Salvador,SLV,1996,Arable land (% of land area),AG.LND.ARBL.ZS,27.2683397683398
El Salvador,SLV,1995,Arable land (% of land area),AG.LND.ARBL.ZS,28.0888030888031
El Salvador,SLV,1994,Arable land (% of land area),AG.LND.ARBL.ZS,28.1853281853282
El Salvador,SLV,1993,Arable land (% of land area),AG.LND.ARBL.ZS,28.2818532818533
El Salvador,SLV,1992,Arable land (% of land area),AG.LND.ARBL.ZS,28.3783783783784
El Salvador,SLV,1991,Arable land (% of land area),AG.LND.ARBL.ZS,27.2683397683398
El Salvador,SLV,1990,Arable land (% of land area),AG.LND.ARBL.ZS,26.5444015444015
El Salvador,SLV,1989,Arable land (% of land area),AG.LND.ARBL.ZS,26.0617760617761
El Salvador,SLV,1988,Arable land (% of land area),AG.LND.ARBL.ZS,26.0617760617761
El Salvador,SLV,1987,Arable land (% of land area),AG.LND.ARBL.ZS,25.0965250965251
El Salvador,SLV,1986,Arable land (% of land area),AG.LND.ARBL.ZS,25.0965250965251
El Salvador,SLV,1985,Arable land (% of land area),AG.LND.ARBL.ZS,24.1312741312741
El Salvador,SLV,1984,Arable land (% of land area),AG.LND.ARBL.ZS,23.1660231660232
El Salvador,SLV,1983,Arable land (% of land area),AG.LND.ARBL.ZS,22.6833976833977
El Salvador,SLV,1982,Arable land (% of land area),AG.LND.ARBL.ZS,23.1177606177606
El Salvador,SLV,1981,Arable land (% of land area),AG.LND.ARBL.ZS,24.9034749034749
El Salvador,SLV,1980,Arable land (% of land area),AG.LND.ARBL.ZS,26.9305019305019
El Salvador,SLV,1979,Arable land (% of land area),AG.LND.ARBL.ZS,27.027027027027
El Salvador,SLV,1978,Arable land (% of land area),AG.LND.ARBL.ZS,24.8552123552124
El Salvador,SLV,1977,Arable land (% of land area),AG.LND.ARBL.ZS,22.9247104247104
El Salvador,SLV,1976,Arable land (% of land area),AG.LND.ARBL.ZS,22.9247104247104
El Salvador,SLV,1975,Arable land (% of land area),AG.LND.ARBL.ZS,23.4052757793765
El Salvador,SLV,1974,Arable land (% of land area),AG.LND.ARBL.ZS,23.4052757793765
