Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Equatorial Guinea,GNQ,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1046.7
Equatorial Guinea,GNQ,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1045.4
Equatorial Guinea,GNQ,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1044.1
Equatorial Guinea,GNQ,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1042.8
Equatorial Guinea,GNQ,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1041.5
Equatorial Guinea,GNQ,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1040.2
Equatorial Guinea,GNQ,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1038.9
Equatorial Guinea,GNQ,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1037.6
Equatorial Guinea,GNQ,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1036.3
Equatorial Guinea,GNQ,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1035.0
Equatorial Guinea,GNQ,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1033.7
Equatorial Guinea,GNQ,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1032.4
Equatorial Guinea,GNQ,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1031.1
Equatorial Guinea,GNQ,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1029.8
Equatorial Guinea,GNQ,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1048.5
Equatorial Guinea,GNQ,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1038.5
Equatorial Guinea,GNQ,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1028.5
Equatorial Guinea,GNQ,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1048.5
Equatorial Guinea,GNQ,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1038.5
Equatorial Guinea,GNQ,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1038.5
Equatorial Guinea,GNQ,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,1078.5
Equatorial Guinea,GNQ,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,1138.5
Equatorial Guinea,GNQ,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,1148.5
Equatorial Guinea,GNQ,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,1168.5
Equatorial Guinea,GNQ,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,1178.5
Equatorial Guinea,GNQ,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,1198.5
Equatorial Guinea,GNQ,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,1208.5
Equatorial Guinea,GNQ,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,1228.5
Equatorial Guinea,GNQ,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,1238.5
Equatorial Guinea,GNQ,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,1258.5
Equatorial Guinea,GNQ,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,1268.5
Equatorial Guinea,GNQ,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,1288.5
Equatorial Guinea,GNQ,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,1298.5
Equatorial Guinea,GNQ,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1318.5
Equatorial Guinea,GNQ,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1328.5
Equatorial Guinea,GNQ,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1348.5
Equatorial Guinea,GNQ,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1358.5
Equatorial Guinea,GNQ,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1378.5
Equatorial Guinea,GNQ,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,1388.5
Equatorial Guinea,GNQ,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,1408.5
Equatorial Guinea,GNQ,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,1418.5
Equatorial Guinea,GNQ,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,1438.5
Equatorial Guinea,GNQ,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,1448.5
Equatorial Guinea,GNQ,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,1468.5
