Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Eritrea,ERI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,75920.0
Eritrea,ERI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,75720.0
Eritrea,ERI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,75720.0
Eritrea,ERI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,75720.0
Eritrea,ERI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,75220.0
Eritrea,ERI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,75000.0
Eritrea,ERI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,75670.0
Eritrea,ERI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,75320.0
Eritrea,ERI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,75320.0
Eritrea,ERI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,75300.0
Eritrea,ERI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,74670.0
Eritrea,ERI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,74670.0
Eritrea,ERI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,73600.0
Eritrea,ERI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,73380.0
Eritrea,ERI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,74070.0
Eritrea,ERI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,74060.0
Eritrea,ERI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,74000.0
Eritrea,ERI,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7226371689837
Eritrea,ERI,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7226371689837
Eritrea,ERI,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7020628070177
Eritrea,ERI,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7035294042634
Eritrea,ERI,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.70688595366
Eritrea,ERI,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7036614635264
Eritrea,ERI,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.6978016748456
Eritrea,ERI,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7250437544772
Eritrea,ERI,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7182592530622
Eritrea,ERI,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.701247715187
Eritrea,ERI,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.6976908693159
Eritrea,ERI,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7100610487235
Eritrea,ERI,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.7077358945754
Eritrea,ERI,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5487918988311
Eritrea,ERI,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5616538406188
Eritrea,ERI,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.5764277224781
Eritrea,ERI,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1522804243469
Eritrea,ERI,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.9923728717243
Eritrea,ERI,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.9207920792079
Eritrea,ERI,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.5742574257426
Eritrea,ERI,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.5742574257426
Eritrea,ERI,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.5544554455445
Eritrea,ERI,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.9306930693069
Eritrea,ERI,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.9306930693069
Eritrea,ERI,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.8712871287129
Eritrea,ERI,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.6534653465346
Eritrea,ERI,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3366336633663
Eritrea,ERI,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3267326732673
Eritrea,ERI,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2673267326733
Eritrea,ERI,2021,Arable land (% of land area),AG.LND.ARBL.ZS,5.70055580171216
Eritrea,ERI,2020,Arable land (% of land area),AG.LND.ARBL.ZS,5.70055580171216
Eritrea,ERI,2019,Arable land (% of land area),AG.LND.ARBL.ZS,5.69868589789808
Eritrea,ERI,2018,Arable land (% of land area),AG.LND.ARBL.ZS,5.69881918979739
Eritrea,ERI,2017,Arable land (% of land area),AG.LND.ARBL.ZS,5.69912425026678
Eritrea,ERI,2016,Arable land (% of land area),AG.LND.ARBL.ZS,5.69883119202229
Eritrea,ERI,2015,Arable land (% of land area),AG.LND.ARBL.ZS,5.69829862429445
Eritrea,ERI,2014,Arable land (% of land area),AG.LND.ARBL.ZS,5.70077452457709
Eritrea,ERI,2013,Arable land (% of land area),AG.LND.ARBL.ZS,5.70015791420086
Eritrea,ERI,2012,Arable land (% of land area),AG.LND.ARBL.ZS,5.6986118181611
Eritrea,ERI,2011,Arable land (% of land area),AG.LND.ARBL.ZS,5.69828855371813
Eritrea,ERI,2010,Arable land (% of land area),AG.LND.ARBL.ZS,5.6994128192333
Eritrea,ERI,2009,Arable land (% of land area),AG.LND.ARBL.ZS,5.69920149726779
Eritrea,ERI,2008,Arable land (% of land area),AG.LND.ARBL.ZS,5.53456029744016
Eritrea,ERI,2007,Arable land (% of land area),AG.LND.ARBL.ZS,5.53569837205687
Eritrea,ERI,2006,Arable land (% of land area),AG.LND.ARBL.ZS,5.53700562256476
Eritrea,ERI,2005,Arable land (% of land area),AG.LND.ARBL.ZS,5.12289469065343
Eritrea,ERI,2004,Arable land (% of land area),AG.LND.ARBL.ZS,4.94285853030549
Eritrea,ERI,2003,Arable land (% of land area),AG.LND.ARBL.ZS,5.91089108910891
Eritrea,ERI,2002,Arable land (% of land area),AG.LND.ARBL.ZS,5.56435643564356
Eritrea,ERI,2001,Arable land (% of land area),AG.LND.ARBL.ZS,5.56435643564356
Eritrea,ERI,2000,Arable land (% of land area),AG.LND.ARBL.ZS,5.54455445544555
Eritrea,ERI,1999,Arable land (% of land area),AG.LND.ARBL.ZS,4.93069306930693
Eritrea,ERI,1998,Arable land (% of land area),AG.LND.ARBL.ZS,4.93069306930693
Eritrea,ERI,1997,Arable land (% of land area),AG.LND.ARBL.ZS,3.87128712871287
Eritrea,ERI,1996,Arable land (% of land area),AG.LND.ARBL.ZS,3.65346534653465
Eritrea,ERI,1995,Arable land (% of land area),AG.LND.ARBL.ZS,4.33663366336634
Eritrea,ERI,1994,Arable land (% of land area),AG.LND.ARBL.ZS,4.32673267326733
Eritrea,ERI,1993,Arable land (% of land area),AG.LND.ARBL.ZS,4.93069306930693
Eritrea,ERI,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1530.75590214
Eritrea,ERI,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1533.61041992
Eritrea,ERI,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1533.61041992
