Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Estonia,EST,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,9850.0
Estonia,EST,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,9820.0
Estonia,EST,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,10030.0
Estonia,EST,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,9930.0
Estonia,EST,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,9740.0
Estonia,EST,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,9650.0
Estonia,EST,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,9559.0
Estonia,EST,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,9460.0
Estonia,EST,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,9488.0
Estonia,EST,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,9318.0
Estonia,EST,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,9068.0
Estonia,EST,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,9146.0
Estonia,EST,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,8985.0
Estonia,EST,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,8819.0
Estonia,EST,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,7704.0
Estonia,EST,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,8287.0
Estonia,EST,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,6982.0
Estonia,EST,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,8900.0
Estonia,EST,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,9860.0
Estonia,EST,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10010.0
Estonia,EST,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10430.0
Estonia,EST,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10230.0
Estonia,EST,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10050.0
Estonia,EST,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,9910.0
Estonia,EST,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,11010.0
Estonia,EST,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,13200.0
Estonia,EST,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Estonia,EST,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.0877192982456
Estonia,EST,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.0409356725146
Estonia,EST,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1204678362573
Estonia,EST,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.0409356725146
Estonia,EST,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.9707602339181
Estonia,EST,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.0733839429492
Estonia,EST,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.8433402346446
Estonia,EST,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.4062571888659
Estonia,EST,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.1992178513918
Estonia,EST,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.550129747582
Estonia,EST,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.3165841000236
Estonia,EST,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.3826374144845
Estonia,EST,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.9815994338287
Estonia,EST,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.3918376975702
Estonia,EST,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.5758433592828
Estonia,EST,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.1960368011323
Estonia,EST,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.8044350082567
Estonia,EST,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.1740976645435
Estonia,EST,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.5494220334985
Estonia,EST,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.4708657702288
Estonia,EST,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.9955178108044
Estonia,EST,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.2602028780373
Estonia,EST,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.6140599197924
Estonia,EST,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.6048596367068
Estonia,EST,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.1330502476999
Estonia,EST,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.7084217975938
Estonia,EST,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.378155225289
Estonia,EST,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.9731068648266
Estonia,EST,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1394196744515
Estonia,EST,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.41330502477
Estonia,EST,2021,Arable land (% of land area),AG.LND.ARBL.ZS,16.374269005848
Estonia,EST,2020,Arable land (% of land area),AG.LND.ARBL.ZS,16.233918128655
Estonia,EST,2019,Arable land (% of land area),AG.LND.ARBL.ZS,16.140350877193
Estonia,EST,2018,Arable land (% of land area),AG.LND.ARBL.ZS,15.9766081871345
Estonia,EST,2017,Arable land (% of land area),AG.LND.ARBL.ZS,15.8830409356725
Estonia,EST,2016,Arable land (% of land area),AG.LND.ARBL.ZS,16.0110420979986
Estonia,EST,2015,Arable land (% of land area),AG.LND.ARBL.ZS,15.527950310559
Estonia,EST,2014,Arable land (% of land area),AG.LND.ARBL.ZS,15.0448585231194
Estonia,EST,2013,Arable land (% of land area),AG.LND.ARBL.ZS,14.6767885898321
Estonia,EST,2012,Arable land (% of land area),AG.LND.ARBL.ZS,14.6378862939372
Estonia,EST,2011,Arable land (% of land area),AG.LND.ARBL.ZS,14.9186128803963
Estonia,EST,2010,Arable land (% of land area),AG.LND.ARBL.ZS,15.2158527954706
Estonia,EST,2009,Arable land (% of land area),AG.LND.ARBL.ZS,14.069355980184
Estonia,EST,2008,Arable land (% of land area),AG.LND.ARBL.ZS,14.1023826374145
Estonia,EST,2007,Arable land (% of land area),AG.LND.ARBL.ZS,14.13776834159
Estonia,EST,2006,Arable land (% of land area),AG.LND.ARBL.ZS,13.1894314696862
Estonia,EST,2005,Arable land (% of land area),AG.LND.ARBL.ZS,13.9608398207124
Estonia,EST,2004,Arable land (% of land area),AG.LND.ARBL.ZS,12.2505307855626
Estonia,EST,2003,Arable land (% of land area),AG.LND.ARBL.ZS,12.8568058504364
Estonia,EST,2002,Arable land (% of land area),AG.LND.ARBL.ZS,14.4751120547299
Estonia,EST,2001,Arable land (% of land area),AG.LND.ARBL.ZS,15.9707478178816
Estonia,EST,2000,Arable land (% of land area),AG.LND.ARBL.ZS,19.8867657466384
Estonia,EST,1999,Arable land (% of land area),AG.LND.ARBL.ZS,20.2642132578438
Estonia,EST,1998,Arable land (% of land area),AG.LND.ARBL.ZS,20.9247464024534
Estonia,EST,1997,Arable land (% of land area),AG.LND.ARBL.ZS,20.9483368719037
Estonia,EST,1996,Arable land (% of land area),AG.LND.ARBL.ZS,20.8539749941024
Estonia,EST,1995,Arable land (% of land area),AG.LND.ARBL.ZS,20.618070299599
Estonia,EST,1994,Arable land (% of land area),AG.LND.ARBL.ZS,22.3873555083746
Estonia,EST,1993,Arable land (% of land area),AG.LND.ARBL.ZS,25.1474404340646
Estonia,EST,1992,Arable land (% of land area),AG.LND.ARBL.ZS,26.3033734371314
Estonia,EST,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1463.56196152
Estonia,EST,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1468.41810217
Estonia,EST,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1471.40702077
Estonia,EST,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.39521984465994
Estonia,EST,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.40648528168705
Estonia,EST,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.41341907472626
Estonia,EST,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,20.93740332324
Estonia,EST,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,16.081262672
Estonia,EST,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,13.09234407499
Estonia,EST,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0485712864420752
Estonia,EST,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0373058494186075
Estonia,EST,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0303720563838711
Estonia,EST,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.44379113110202
Estonia,EST,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.44379113110566
Estonia,EST,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.44379113111013
Estonia,EST,2021,Forest area (sq. km),AG.LND.FRST.K2,24384.0
Estonia,EST,2020,Forest area (sq. km),AG.LND.FRST.K2,24384.0
Estonia,EST,2019,Forest area (sq. km),AG.LND.FRST.K2,24384.0
Estonia,EST,2018,Forest area (sq. km),AG.LND.FRST.K2,24384.0
Estonia,EST,2017,Forest area (sq. km),AG.LND.FRST.K2,24384.0
Estonia,EST,2016,Forest area (sq. km),AG.LND.FRST.K2,24212.5
Estonia,EST,2015,Forest area (sq. km),AG.LND.FRST.K2,24210.1
Estonia,EST,2014,Forest area (sq. km),AG.LND.FRST.K2,24040.12
Estonia,EST,2013,Forest area (sq. km),AG.LND.FRST.K2,23870.14
Estonia,EST,2012,Forest area (sq. km),AG.LND.FRST.K2,23700.16
Estonia,EST,2011,Forest area (sq. km),AG.LND.FRST.K2,23530.18
Estonia,EST,2010,Forest area (sq. km),AG.LND.FRST.K2,23360.2
Estonia,EST,2009,Forest area (sq. km),AG.LND.FRST.K2,23263.07
Estonia,EST,2008,Forest area (sq. km),AG.LND.FRST.K2,23165.94
Estonia,EST,2007,Forest area (sq. km),AG.LND.FRST.K2,23068.81
Estonia,EST,2006,Forest area (sq. km),AG.LND.FRST.K2,22971.68
Estonia,EST,2005,Forest area (sq. km),AG.LND.FRST.K2,22874.55
