Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Eswatini,SWZ,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,12010.0
Eswatini,SWZ,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,12040.0
Eswatini,SWZ,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,12080.0
Eswatini,SWZ,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,12120.0
Eswatini,SWZ,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,12160.0
Eswatini,SWZ,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,12187.465
Eswatini,SWZ,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,12200.0
Eswatini,SWZ,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,12210.0
Eswatini,SWZ,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,12210.433
Eswatini,SWZ,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,12240.0
Eswatini,SWZ,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,12220.0
Eswatini,SWZ,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,12220.0
Eswatini,SWZ,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,12220.0
Eswatini,SWZ,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,12220.0
Eswatini,SWZ,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,12230.0
Eswatini,SWZ,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,12270.0
Eswatini,SWZ,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,12380.0
Eswatini,SWZ,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,12640.0
Eswatini,SWZ,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,12850.0
Eswatini,SWZ,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,13070.0
Eswatini,SWZ,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,13290.0
Eswatini,SWZ,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,12840.0
Eswatini,SWZ,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,12690.0
Eswatini,SWZ,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,12880.0
Eswatini,SWZ,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,12860.0
Eswatini,SWZ,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,12840.0
Eswatini,SWZ,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,12910.0
Eswatini,SWZ,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,13400.0
Eswatini,SWZ,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,13930.0
Eswatini,SWZ,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,13930.0
Eswatini,SWZ,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,13710.0
Eswatini,SWZ,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,13130.0
Eswatini,SWZ,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,14820.0
Eswatini,SWZ,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,15130.0
Eswatini,SWZ,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,15130.0
Eswatini,SWZ,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,14940.0
Eswatini,SWZ,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,14940.0
Eswatini,SWZ,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,14940.0
Eswatini,SWZ,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,14980.0
Eswatini,SWZ,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,14970.0
Eswatini,SWZ,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,14930.0
Eswatini,SWZ,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,14840.0
Eswatini,SWZ,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,14770.0
Eswatini,SWZ,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,14740.0
Eswatini,SWZ,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,14780.0
Eswatini,SWZ,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,14680.0
Eswatini,SWZ,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.4767441860465
Eswatini,SWZ,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.4767441860465
Eswatini,SWZ,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.593023255814
Eswatini,SWZ,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.8255813953488
Eswatini,SWZ,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0
Eswatini,SWZ,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2325581395349
Eswatini,SWZ,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.4651162790698
Eswatini,SWZ,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6976744186046
Eswatini,SWZ,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.8573546511628
Eswatini,SWZ,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9302325581395
Eswatini,SWZ,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9883720930233
Eswatini,SWZ,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9908895348837
Eswatini,SWZ,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1627906976744
Eswatini,SWZ,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.046511627907
Eswatini,SWZ,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.046511627907
Eswatini,SWZ,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.046511627907
Eswatini,SWZ,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.046511627907
Eswatini,SWZ,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1046511627907
Eswatini,SWZ,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.3372093023256
Eswatini,SWZ,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9767441860465
Eswatini,SWZ,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4883720930233
Eswatini,SWZ,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.7093023255814
Eswatini,SWZ,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.9883720930233
Eswatini,SWZ,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2674418604651
Eswatini,SWZ,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.6511627906977
Eswatini,SWZ,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.7790697674419
Eswatini,SWZ,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8837209302326
Eswatini,SWZ,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.7674418604651
Eswatini,SWZ,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.6511627906977
Eswatini,SWZ,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.0581395348837
Eswatini,SWZ,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.9069767441861
Eswatini,SWZ,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.9883720930233
Eswatini,SWZ,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.9883720930233
Eswatini,SWZ,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.7093023255814
Eswatini,SWZ,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.3372093023256
Eswatini,SWZ,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,86.1627906976744
Eswatini,SWZ,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,87.9651162790698
Eswatini,SWZ,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,87.9651162790698
Eswatini,SWZ,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,86.8604651162791
Eswatini,SWZ,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,86.8604651162791
