Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ethiopia,ETH,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,379030.0
Ethiopia,ETH,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,375401.0
Ethiopia,ETH,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,373320.0
Ethiopia,ETH,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,371210.0
Ethiopia,ETH,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,369100.0
Ethiopia,ETH,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,366990.0
Ethiopia,ETH,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,364880.0
Ethiopia,ETH,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,363252.0
Ethiopia,ETH,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,356830.0
Ethiopia,ETH,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,349850.0
Ethiopia,ETH,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,345130.0
Ethiopia,ETH,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,350770.0
Ethiopia,ETH,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,342190.0
Ethiopia,ETH,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,335910.0
Ethiopia,ETH,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,331010.0
Ethiopia,ETH,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,316070.0
Ethiopia,ETH,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,304980.0
Ethiopia,ETH,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,305590.0
Ethiopia,ETH,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,305340.0
Ethiopia,ETH,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,305570.0
Ethiopia,ETH,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,304490.0
Ethiopia,ETH,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,304920.0
Ethiopia,ETH,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,305000.0
Ethiopia,ETH,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,305000.0
Ethiopia,ETH,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,304720.0
Ethiopia,ETH,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,305400.0
