Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Fiji,FJI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,3135.0
Fiji,FJI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,3142.0
Fiji,FJI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,3149.0
Fiji,FJI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,3156.0
Fiji,FJI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,3163.0
Fiji,FJI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,3170.0
Fiji,FJI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,3177.0
Fiji,FJI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,3184.0
Fiji,FJI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,3191.0
Fiji,FJI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,3198.0
Fiji,FJI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,3254.0
Fiji,FJI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,3312.0
Fiji,FJI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,3370.0
Fiji,FJI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,3428.0
Fiji,FJI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,3486.0
Fiji,FJI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,3544.0
Fiji,FJI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,3602.0
Fiji,FJI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,3660.0
Fiji,FJI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,3718.0
Fiji,FJI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,3776.0
Fiji,FJI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,3834.0
Fiji,FJI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,3892.0
Fiji,FJI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,3950.0
