Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Finland,FIN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,22720.0
Finland,FIN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,22700.0
Finland,FIN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,22750.0
Finland,FIN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,22734.0
Finland,FIN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,22671.0
Finland,FIN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,22585.0
Finland,FIN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,22851.0
Finland,FIN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,22866.0
Finland,FIN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,22919.0
Finland,FIN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,22965.0
Finland,FIN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,22964.0
Finland,FIN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,22949.0
Finland,FIN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,23008.0
Finland,FIN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,22738.0
Finland,FIN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,22530.0
Finland,FIN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,22460.0
Finland,FIN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,22360.0
Finland,FIN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,22220.0
Finland,FIN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,22180.0
Finland,FIN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,22014.0
Finland,FIN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,21920.0
Finland,FIN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,21500.0
Finland,FIN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,22180.0
Finland,FIN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,22440.0
Finland,FIN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,24119.0
Finland,FIN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,23837.0
Finland,FIN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,24065.0
Finland,FIN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,24248.0
