Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
French Polynesia,PYF,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,475.0
French Polynesia,PYF,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,465.0
French Polynesia,PYF,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,455.0
French Polynesia,PYF,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,445.0
French Polynesia,PYF,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,445.0
French Polynesia,PYF,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,450.0
French Polynesia,PYF,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
French Polynesia,PYF,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,440.0
French Polynesia,PYF,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.9729184673005
French Polynesia,PYF,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.9729184673005
French Polynesia,PYF,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.6848170556036
French Polynesia,PYF,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.6848170556036
French Polynesia,PYF,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.3967156439067
French Polynesia,PYF,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.1086142322097
French Polynesia,PYF,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.8205128205128
French Polynesia,PYF,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.8205128205128
French Polynesia,PYF,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.9645635263613
French Polynesia,PYF,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.3883607029674
French Polynesia,PYF,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.3883607029674
French Polynesia,PYF,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.7486338797814
French Polynesia,PYF,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0218579234973
French Polynesia,PYF,2021,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2020,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2019,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2018,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2017,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2016,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2015,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2014,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2013,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2012,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2011,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2010,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2009,Arable land (% of land area),AG.LND.ARBL.ZS,0.720253529242293
French Polynesia,PYF,2008,Arable land (% of land area),AG.LND.ARBL.ZS,0.864304235090752
French Polynesia,PYF,2007,Arable land (% of land area),AG.LND.ARBL.ZS,0.864304235090752
