Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Gabon,GAB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,21532.36
Gabon,GAB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,21413.54
Gabon,GAB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,21294.72
Gabon,GAB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,21175.9
Gabon,GAB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,21125.31
Gabon,GAB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,21074.72
Gabon,GAB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,21024.13
Gabon,GAB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,20973.54
Gabon,GAB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,20922.95
Gabon,GAB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,20872.36
Gabon,GAB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,20821.77
Gabon,GAB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,20771.18
Gabon,GAB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,20720.59
Gabon,GAB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,20670.0
Gabon,GAB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,20608.38
Gabon,GAB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,20546.76
Gabon,GAB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,20485.14
Gabon,GAB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,20423.52
Gabon,GAB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,20361.9
Gabon,GAB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,20300.28
Gabon,GAB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,20238.66
Gabon,GAB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,20177.04
Gabon,GAB,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,20115.42
Gabon,GAB,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,20053.8
Gabon,GAB,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,20033.8
Gabon,GAB,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,20013.8
Gabon,GAB,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,19993.8
Gabon,GAB,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,19973.8
Gabon,GAB,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,19953.8
Gabon,GAB,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,19933.8
Gabon,GAB,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,19913.8
Gabon,GAB,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,19893.8
Gabon,GAB,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,19873.8
Gabon,GAB,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,19853.8
Gabon,GAB,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,19833.8
Gabon,GAB,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,19813.8
Gabon,GAB,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,19593.8
