Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Germany,DEU,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,166450.0
Germany,DEU,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,166870.0
Germany,DEU,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,166590.0
Germany,DEU,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,167310.0
Germany,DEU,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,167250.0
Germany,DEU,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,166970.0
Germany,DEU,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,166640.0
Germany,DEU,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,167190.0
Germany,DEU,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,167000.0
Germany,DEU,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,168860.0
Germany,DEU,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,169210.0
Germany,DEU,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,169500.0
Germany,DEU,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,169460.0
Germany,DEU,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,170310.0
Germany,DEU,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,170130.0
Germany,DEU,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,170010.0
Germany,DEU,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,169670.0
Germany,DEU,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,170340.0
Germany,DEU,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,170680.0
Germany,DEU,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,171520.0
Germany,DEU,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,173730.0
Germany,DEU,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,173270.0
Germany,DEU,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,173370.0
Germany,DEU,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,173430.0
Germany,DEU,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,173080.0
Germany,DEU,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,171620.0
Germany,DEU,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,169510.0
Germany,DEU,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,171360.0
Germany,DEU,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,180320.0
Germany,DEU,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,180560.0
Germany,DEU,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,180970.0
Germany,DEU,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,181250.0
Germany,DEU,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,182080.0
Germany,DEU,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,182440.0
Germany,DEU,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,182840.0
Germany,DEU,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,183300.0
