Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Greece,GRC,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,59436.904
Greece,GRC,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,60535.408
Greece,GRC,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,61360.0
Greece,GRC,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,61990.0
Greece,GRC,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,62010.0
Greece,GRC,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,71530.0
Greece,GRC,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,72830.0
Greece,GRC,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,73960.0
Greece,GRC,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,74890.0
Greece,GRC,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,75600.0
Greece,GRC,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,76570.0
Greece,GRC,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,77530.0
Greece,GRC,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,78630.0
Greece,GRC,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,80050.0
Greece,GRC,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,80800.0
Greece,GRC,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,82520.0
Greece,GRC,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,83430.0
Greece,GRC,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,84380.0
Greece,GRC,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,85290.0
Greece,GRC,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,86700.0
Greece,GRC,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,87820.0
Greece,GRC,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,89850.0
Greece,GRC,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,91720.0
Greece,GRC,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,91640.0
Greece,GRC,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,91700.0
Greece,GRC,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,91600.0
Greece,GRC,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,91670.0
Greece,GRC,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,91640.0
Greece,GRC,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,92220.0
Greece,GRC,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,92150.0
Greece,GRC,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,91790.0
Greece,GRC,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,91770.0
Greece,GRC,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,91800.0
Greece,GRC,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,91840.0
Greece,GRC,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,92090.0
Greece,GRC,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,91820.0
Greece,GRC,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,92060.0
Greece,GRC,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,92060.0
Greece,GRC,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,91800.0
Greece,GRC,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,91810.0
Greece,GRC,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,91750.0
Greece,GRC,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,91120.0
Greece,GRC,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,91150.0
Greece,GRC,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,91180.0
Greece,GRC,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,91410.0
Greece,GRC,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,91430.0
Greece,GRC,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,91600.0
Greece,GRC,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,91550.0
Greece,GRC,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,91550.0
Greece,GRC,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,91440.0
Greece,GRC,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,91430.0
Greece,GRC,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,91130.0
Greece,GRC,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,90900.0
Greece,GRC,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,86780.0
Greece,GRC,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,89910.0
Greece,GRC,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,90210.0
Greece,GRC,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,89020.0
Greece,GRC,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,89100.0
Greece,GRC,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.5173622963538
