Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Grenada,GRD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
Grenada,GRD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Grenada,GRD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Grenada,GRD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
Grenada,GRD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Grenada,GRD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Grenada,GRD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Grenada,GRD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
Grenada,GRD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Grenada,GRD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Grenada,GRD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Grenada,GRD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,110.0
Grenada,GRD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
Grenada,GRD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
Grenada,GRD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Grenada,GRD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,140.0
Grenada,GRD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Grenada,GRD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Grenada,GRD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Grenada,GRD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Grenada,GRD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,160.0
Grenada,GRD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Grenada,GRD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,190.0
Grenada,GRD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,200.0
Grenada,GRD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,220.0
Grenada,GRD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.5294117647059
Grenada,GRD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4117647058824
Grenada,GRD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4117647058824
Grenada,GRD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4117647058824
Grenada,GRD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.4705882352941
Grenada,GRD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.4705882352941
Grenada,GRD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.4705882352941
Grenada,GRD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.4705882352941
Grenada,GRD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.3529411764706
Grenada,GRD,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.3529411764706
Grenada,GRD,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.3529411764706
Grenada,GRD,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.3529411764706
Grenada,GRD,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2941176470588
Grenada,GRD,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2352941176471
Grenada,GRD,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.1764705882353
Grenada,GRD,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.1764705882353
Grenada,GRD,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0588235294118
Grenada,GRD,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0588235294118
Grenada,GRD,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0588235294118
Grenada,GRD,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0588235294118
Grenada,GRD,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0588235294118
Grenada,GRD,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8823529411765
Grenada,GRD,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8823529411765
Grenada,GRD,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.8235294117647
Grenada,GRD,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7058823529412
Grenada,GRD,2021,Arable land (% of land area),AG.LND.ARBL.ZS,8.82352941176471
Grenada,GRD,2020,Arable land (% of land area),AG.LND.ARBL.ZS,8.82352941176471
Grenada,GRD,2019,Arable land (% of land area),AG.LND.ARBL.ZS,8.82352941176471
