Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Guyana,GUY,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,10420.0
Guyana,GUY,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,10401.333
Guyana,GUY,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,10382.667
Guyana,GUY,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,10364.0
Guyana,GUY,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10345.333
Guyana,GUY,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10306.667
Guyana,GUY,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10278.0
Guyana,GUY,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10259.333
Guyana,GUY,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10240.667
Guyana,GUY,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10222.0
Guyana,GUY,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,10193.333
Guyana,GUY,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10154.667
Guyana,GUY,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10136.0
Guyana,GUY,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,10117.333
Guyana,GUY,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10098.667
Guyana,GUY,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10080.0
Guyana,GUY,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,10061.333
Guyana,GUY,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,10022.667
Guyana,GUY,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,10004.0
Guyana,GUY,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,9985.333
Guyana,GUY,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,9946.667
Guyana,GUY,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,9928.0
Guyana,GUY,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,9879.333
Guyana,GUY,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,10366.917
Guyana,GUY,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,10854.5
Guyana,GUY,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,11342.083
Guyana,GUY,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,11829.667
Guyana,GUY,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,12317.25
Guyana,GUY,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,12804.833
Guyana,GUY,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,13292.417
Guyana,GUY,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,13780.0
Guyana,GUY,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,13760.0
Guyana,GUY,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,13760.0
Guyana,GUY,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,13740.0
Guyana,GUY,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,13710.0
Guyana,GUY,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,13710.0
Guyana,GUY,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13660.0
Guyana,GUY,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13660.0
Guyana,GUY,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13640.0
Guyana,GUY,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13640.0
Guyana,GUY,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13590.0
Guyana,GUY,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13590.0
Guyana,GUY,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13590.0
Guyana,GUY,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13590.0
Guyana,GUY,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13590.0
Guyana,GUY,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29845059690119
Guyana,GUY,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.29337058674117
Guyana,GUY,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.28388773177546
Guyana,GUY,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.27440538481077
Guyana,GUY,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.26492252984506
Guyana,GUY,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.25543967487935
Guyana,GUY,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.23579730759461
Guyana,GUY,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.22123444246888
Guyana,GUY,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.21175158750318
Guyana,GUY,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.20226924053848
Guyana,GUY,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.19278638557277
Guyana,GUY,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.17822352044704
Guyana,GUY,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.15858115316231
Guyana,GUY,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.1490982981966
Guyana,GUY,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.13961544323089
Guyana,GUY,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.13013309626619
Guyana,GUY,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.12065024130048
Guyana,GUY,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.11116738633477
Guyana,GUY,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.09152501905004
Guyana,GUY,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.08204216408433
Guyana,GUY,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.07255930911862
Guyana,GUY,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.05291694183388
Guyana,GUY,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.04343408686817
Guyana,GUY,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.0187112014224
Guyana,GUY,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.26640436880874
Guyana,GUY,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.51409702819406
Guyana,GUY,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.76178968757938
Guyana,GUY,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.00948285496571
Guyana,GUY,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.25717551435103
Guyana,GUY,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.50486817373635
Guyana,GUY,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.75256134112268
Guyana,GUY,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.000254000508
Guyana,GUY,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.99506888312745
Guyana,GUY,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.99506888312745
Guyana,GUY,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.98490163184383
Guyana,GUY,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.96965075491841
Guyana,GUY,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.96965075491841
Guyana,GUY,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.94423262670937
Guyana,GUY,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.94423262670937
Guyana,GUY,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.93406537542575
Guyana,GUY,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.93406537542575
Guyana,GUY,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.90864724721671
Guyana,GUY,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.90864724721671
Guyana,GUY,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.90864724721671
Guyana,GUY,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.90864724721671
Guyana,GUY,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,6.90864724721671
Guyana,GUY,2021,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2020,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2019,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2018,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2017,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2016,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2015,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2014,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2013,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2012,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2011,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2010,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2009,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2008,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2007,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2006,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2005,Arable land (% of land area),AG.LND.ARBL.ZS,2.13360426720853
Guyana,GUY,2004,Arable land (% of land area),AG.LND.ARBL.ZS,2.12412141224282
Guyana,GUY,2003,Arable land (% of land area),AG.LND.ARBL.ZS,2.11463906527813
Guyana,GUY,2002,Arable land (% of land area),AG.LND.ARBL.ZS,2.10515621031242
Guyana,GUY,2001,Arable land (% of land area),AG.LND.ARBL.ZS,2.09567335534671
Guyana,GUY,2000,Arable land (% of land area),AG.LND.ARBL.ZS,2.08619100838202
Guyana,GUY,1999,Arable land (% of land area),AG.LND.ARBL.ZS,2.07670815341631
Guyana,GUY,1998,Arable land (% of land area),AG.LND.ARBL.ZS,2.0672252984506
Guyana,GUY,1997,Arable land (% of land area),AG.LND.ARBL.ZS,2.0577429514859
Guyana,GUY,1996,Arable land (% of land area),AG.LND.ARBL.ZS,2.04826009652019
Guyana,GUY,1995,Arable land (% of land area),AG.LND.ARBL.ZS,2.03877724155448
Guyana,GUY,1994,Arable land (% of land area),AG.LND.ARBL.ZS,2.02929489458979
Guyana,GUY,1993,Arable land (% of land area),AG.LND.ARBL.ZS,2.01981203962408
Guyana,GUY,1992,Arable land (% of land area),AG.LND.ARBL.ZS,2.01032918465837
Guyana,GUY,1991,Arable land (% of land area),AG.LND.ARBL.ZS,2.00084683769368
Guyana,GUY,1990,Arable land (% of land area),AG.LND.ARBL.ZS,1.99136398272797
Guyana,GUY,1989,Arable land (% of land area),AG.LND.ARBL.ZS,1.98188112776226
Guyana,GUY,1988,Arable land (% of land area),AG.LND.ARBL.ZS,1.97239878079756
Guyana,GUY,1987,Arable land (% of land area),AG.LND.ARBL.ZS,1.96291592583185
Guyana,GUY,1986,Arable land (% of land area),AG.LND.ARBL.ZS,1.95343307086614
Guyana,GUY,1985,Arable land (% of land area),AG.LND.ARBL.ZS,1.94395072390145
Guyana,GUY,1984,Arable land (% of land area),AG.LND.ARBL.ZS,1.93446786893574
Guyana,GUY,1983,Arable land (% of land area),AG.LND.ARBL.ZS,1.92498501397003
Guyana,GUY,1982,Arable land (% of land area),AG.LND.ARBL.ZS,1.91550266700533
Guyana,GUY,1981,Arable land (% of land area),AG.LND.ARBL.ZS,1.90601981203962
Guyana,GUY,1980,Arable land (% of land area),AG.LND.ARBL.ZS,1.89653695707391
Guyana,GUY,1979,Arable land (% of land area),AG.LND.ARBL.ZS,1.88705461010922
Guyana,GUY,1978,Arable land (% of land area),AG.LND.ARBL.ZS,1.87757175514351
Guyana,GUY,1977,Arable land (% of land area),AG.LND.ARBL.ZS,1.8680889001778
Guyana,GUY,1976,Arable land (% of land area),AG.LND.ARBL.ZS,1.85860655321311
Guyana,GUY,1975,Arable land (% of land area),AG.LND.ARBL.ZS,1.8491236982474
Guyana,GUY,1974,Arable land (% of land area),AG.LND.ARBL.ZS,1.8402724823344
Guyana,GUY,1973,Arable land (% of land area),AG.LND.ARBL.ZS,1.8402724823344
Guyana,GUY,1972,Arable land (% of land area),AG.LND.ARBL.ZS,1.83010523105079
Guyana,GUY,1971,Arable land (% of land area),AG.LND.ARBL.ZS,1.83010523105079
Guyana,GUY,1970,Arable land (% of land area),AG.LND.ARBL.ZS,1.83010523105079
Guyana,GUY,1969,Arable land (% of land area),AG.LND.ARBL.ZS,1.80468710284175
Guyana,GUY,1968,Arable land (% of land area),AG.LND.ARBL.ZS,1.80468710284175
Guyana,GUY,1967,Arable land (% of land area),AG.LND.ARBL.ZS,1.80468710284175
Guyana,GUY,1966,Arable land (% of land area),AG.LND.ARBL.ZS,1.80468710284175
Guyana,GUY,1965,Arable land (% of land area),AG.LND.ARBL.ZS,1.77926897463271
Guyana,GUY,1964,Arable land (% of land area),AG.LND.ARBL.ZS,1.77926897463271
Guyana,GUY,1963,Arable land (% of land area),AG.LND.ARBL.ZS,1.77926897463271
Guyana,GUY,1962,Arable land (% of land area),AG.LND.ARBL.ZS,1.77926897463271
Guyana,GUY,1961,Arable land (% of land area),AG.LND.ARBL.ZS,1.77926897463271
Guyana,GUY,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,10814.8688698
Guyana,GUY,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,10812.2839774
Guyana,GUY,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,10822.2590698
Guyana,GUY,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.14822465006222
Guyana,GUY,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.14699415832053
Guyana,GUY,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,5.1517426224275
Guyana,GUY,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,147.8968748856
Guyana,GUY,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,150.4817672333
Guyana,GUY,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,140.5066748228
Guyana,GUY,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0704036587146613
Guyana,GUY,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0716341504258006
Guyana,GUY,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0668856863203477
