Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Honduras,HND,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,35090.0
Honduras,HND,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,34880.0
Honduras,HND,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,34240.0
Honduras,HND,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,33750.0
Honduras,HND,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,33750.0
Honduras,HND,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,33700.0
Honduras,HND,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,33580.0
Honduras,HND,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,33110.0
Honduras,HND,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,32680.0
Honduras,HND,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,31980.0
Honduras,HND,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,31840.0
Honduras,HND,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,31600.0
Honduras,HND,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,31600.0
Honduras,HND,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,31500.0
Honduras,HND,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,31400.0
Honduras,HND,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,31530.0
Honduras,HND,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,30280.0
Honduras,HND,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,29360.0
Honduras,HND,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,29350.0
Honduras,HND,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,33370.0
Honduras,HND,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,33950.0
Honduras,HND,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,33950.0
Honduras,HND,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,34800.0
Honduras,HND,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,34800.0
Honduras,HND,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,35200.0
Honduras,HND,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,35480.0
Honduras,HND,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,33550.0
Honduras,HND,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,33420.0
Honduras,HND,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,33200.0
Honduras,HND,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,33710.0
Honduras,HND,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,32850.0
Honduras,HND,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,32850.0
Honduras,HND,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,32850.0
Honduras,HND,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,32780.0
Honduras,HND,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,32770.0
