Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Hong Kong SAR, China",HKG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Hong Kong SAR, China",HKG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,51.0
"Hong Kong SAR, China",HKG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Hong Kong SAR, China",HKG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,51.0
"Hong Kong SAR, China",HKG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,51.0
"Hong Kong SAR, China",HKG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,51.0
"Hong Kong SAR, China",HKG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,51.0
"Hong Kong SAR, China",HKG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Hong Kong SAR, China",HKG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Hong Kong SAR, China",HKG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
"Hong Kong SAR, China",HKG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
"Hong Kong SAR, China",HKG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
"Hong Kong SAR, China",HKG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,60.0
"Hong Kong SAR, China",HKG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,70.0
"Hong Kong SAR, China",HKG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,80.0
"Hong Kong SAR, China",HKG,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0
"Hong Kong SAR, China",HKG,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Hong Kong SAR, China",HKG,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0
"Hong Kong SAR, China",HKG,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
"Hong Kong SAR, China",HKG,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
"Hong Kong SAR, China",HKG,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
"Hong Kong SAR, China",HKG,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0
"Hong Kong SAR, China",HKG,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
"Hong Kong SAR, China",HKG,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,130.0
