Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Hungary,HUN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,52960.0
Hungary,HUN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,53030.0
Hungary,HUN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,52820.0
Hungary,HUN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,52640.0
Hungary,HUN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,52640.0
Hungary,HUN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,52570.0
Hungary,HUN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,53380.0
Hungary,HUN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,53370.0
Hungary,HUN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,53430.0
Hungary,HUN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,57830.0
Hungary,HUN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,57900.0
Hungary,HUN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,58070.0
Hungary,HUN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,58090.0
Hungary,HUN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,58630.0
Hungary,HUN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,58640.0
Hungary,HUN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,58650.0
Hungary,HUN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,58490.0
Hungary,HUN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,58650.0
Hungary,HUN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,58540.0
Hungary,HUN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,61860.0
Hungary,HUN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,61930.0
Hungary,HUN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,61950.0
Hungary,HUN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,61840.0
Hungary,HUN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,61790.0
Hungary,HUN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,61220.0
Hungary,HUN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,61300.0
Hungary,HUN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,61360.0
Hungary,HUN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,64600.0
Hungary,HUN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,64740.0
Hungary,HUN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,64840.0
Hungary,HUN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,64970.0
Hungary,HUN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,65110.0
Hungary,HUN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,65230.0
Hungary,HUN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,65390.0
Hungary,HUN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,65540.0
Hungary,HUN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,65710.0
Hungary,HUN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,65820.0
Hungary,HUN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,66010.0
Hungary,HUN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,66270.0
Hungary,HUN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,66510.0
Hungary,HUN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,66980.0
Hungary,HUN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,67290.0
Hungary,HUN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,67570.0
Hungary,HUN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,67700.0
Hungary,HUN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,67820.0
Hungary,HUN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,68350.0
Hungary,HUN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,68460.0
Hungary,HUN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,68550.0
Hungary,HUN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,68750.0
Hungary,HUN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,68880.0
Hungary,HUN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,69030.0
Hungary,HUN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,69140.0
Hungary,HUN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,69270.0
Hungary,HUN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,69530.0
Hungary,HUN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,69790.0
Hungary,HUN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,69840.0
Hungary,HUN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,70120.0
Hungary,HUN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,70830.0
Hungary,HUN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.2672430418584
