Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Iran, Islamic Rep.",IRN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,469150.0
"Iran, Islamic Rep.",IRN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,464350.0
"Iran, Islamic Rep.",IRN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,459540.0
"Iran, Islamic Rep.",IRN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,459540.0
"Iran, Islamic Rep.",IRN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,459540.0
"Iran, Islamic Rep.",IRN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,459540.0
"Iran, Islamic Rep.",IRN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,462458.0
"Iran, Islamic Rep.",IRN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,463926.0
"Iran, Islamic Rep.",IRN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,465394.0
"Iran, Islamic Rep.",IRN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,466862.0
"Iran, Islamic Rep.",IRN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,466850.0
"Iran, Islamic Rep.",IRN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,480730.0
"Iran, Islamic Rep.",IRN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,478520.0
"Iran, Islamic Rep.",IRN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,476310.0
"Iran, Islamic Rep.",IRN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,644860.0
"Iran, Islamic Rep.",IRN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,642650.0
"Iran, Islamic Rep.",IRN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,640440.0
"Iran, Islamic Rep.",IRN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,638230.0
"Iran, Islamic Rep.",IRN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,628840.0
"Iran, Islamic Rep.",IRN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,636870.0
"Iran, Islamic Rep.",IRN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,647870.0
"Iran, Islamic Rep.",IRN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,638320.0
"Iran, Islamic Rep.",IRN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,644270.0
"Iran, Islamic Rep.",IRN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,642080.0
"Iran, Islamic Rep.",IRN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,641570.0
"Iran, Islamic Rep.",IRN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,641520.0
"Iran, Islamic Rep.",IRN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,637870.0
"Iran, Islamic Rep.",IRN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,629970.0
"Iran, Islamic Rep.",IRN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,615000.0
"Iran, Islamic Rep.",IRN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,617000.0
"Iran, Islamic Rep.",IRN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,618710.0
"Iran, Islamic Rep.",IRN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,610300.0
"Iran, Islamic Rep.",IRN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,607000.0
"Iran, Islamic Rep.",IRN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,603700.0
"Iran, Islamic Rep.",IRN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,595400.0
"Iran, Islamic Rep.",IRN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,592100.0
"Iran, Islamic Rep.",IRN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,588670.0
"Iran, Islamic Rep.",IRN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,582800.0
"Iran, Islamic Rep.",IRN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,577130.0
"Iran, Islamic Rep.",IRN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,599080.0
"Iran, Islamic Rep.",IRN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,588670.0
"Iran, Islamic Rep.",IRN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,596930.0
"Iran, Islamic Rep.",IRN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,599500.0
"Iran, Islamic Rep.",IRN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,604400.0
"Iran, Islamic Rep.",IRN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,609600.0
"Iran, Islamic Rep.",IRN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,614810.0
"Iran, Islamic Rep.",IRN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,608000.0
"Iran, Islamic Rep.",IRN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,601540.0
"Iran, Islamic Rep.",IRN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,597000.0
"Iran, Islamic Rep.",IRN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,596700.0
"Iran, Islamic Rep.",IRN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,596000.0
"Iran, Islamic Rep.",IRN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,595500.0
"Iran, Islamic Rep.",IRN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,594800.0
"Iran, Islamic Rep.",IRN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,594700.0
"Iran, Islamic Rep.",IRN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,594100.0
"Iran, Islamic Rep.",IRN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,593500.0
"Iran, Islamic Rep.",IRN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,592900.0
"Iran, Islamic Rep.",IRN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,592710.0
"Iran, Islamic Rep.",IRN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.008936825886
"Iran, Islamic Rep.",IRN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.984694422188
"Iran, Islamic Rep.",IRN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9604519568567
"Iran, Islamic Rep.",IRN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9152542372881
"Iran, Islamic Rep.",IRN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6194144838213
"Iran, Islamic Rep.",IRN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2141015250866
"Iran, Islamic Rep.",IRN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2141015250866
"Iran, Islamic Rep.",IRN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2141015250866
"Iran, Islamic Rep.",IRN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2141015250866
"Iran, Islamic Rep.",IRN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3932562194553
"Iran, Islamic Rep.",IRN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4833861342371
"Iran, Islamic Rep.",IRN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5735160490189
"Iran, Islamic Rep.",IRN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6636459638007
"Iran, Islamic Rep.",IRN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6629092070041
"Iran, Islamic Rep.",IRN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.51509123505
"Iran, Islamic Rep.",IRN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3794051916796
"Iran, Islamic Rep.",IRN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.2437191483091
"Iran, Islamic Rep.",IRN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.5920823202927
"Iran, Islamic Rep.",IRN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.4563962769223
"Iran, Islamic Rep.",IRN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.3207102335519
"Iran, Islamic Rep.",IRN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.1850241901815
"Iran, Islamic Rep.",IRN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6085119968565
"Iran, Islamic Rep.",IRN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.1015250865689
"Iran, Islamic Rep.",IRN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.7768854834353
"Iran, Islamic Rep.",IRN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.1905498661558
"Iran, Islamic Rep.",IRN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.5558584444608
"Iran, Islamic Rep.",IRN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.4214003290847
"Iran, Islamic Rep.",IRN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.39008816523
"Iran, Islamic Rep.",IRN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.3870183452442
"Iran, Islamic Rep.",IRN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.162921486284
"Iran, Islamic Rep.",IRN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6778899285346
"Iran, Islamic Rep.",IRN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.7587858247992
"Iran, Islamic Rep.",IRN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.8815786242295
"Iran, Islamic Rep.",IRN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.9865664677423
"Iran, Islamic Rep.",IRN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4702227461382
"Iran, Islamic Rep.",IRN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2676146270783
"Iran, Islamic Rep.",IRN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0650065080184
"Iran, Islamic Rep.",IRN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5554163903829
"Iran, Islamic Rep.",IRN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.352808271323
"Iran, Islamic Rep.",IRN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1422186203001
"Iran, Islamic Rep.",IRN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.7818217539723
"Iran, Islamic Rep.",IRN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.4337041675876
"Iran, Islamic Rep.",IRN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7813551413345
"Iran, Islamic Rep.",IRN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1422186203001
"Iran, Islamic Rep.",IRN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.649352881947
"Iran, Islamic Rep.",IRN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8071416292149
"Iran, Islamic Rep.",IRN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.107983987819
"Iran, Islamic Rep.",IRN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4272452663376
"Iran, Islamic Rep.",IRN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.7471205088534
"Iran, Islamic Rep.",IRN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3290110267934
"Iran, Islamic Rep.",IRN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9323902846337
"Iran, Islamic Rep.",IRN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.6536506299271
"Iran, Islamic Rep.",IRN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.6352317100125
"Iran, Islamic Rep.",IRN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5922542302119
"Iran, Islamic Rep.",IRN,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5615560303544
"Iran, Islamic Rep.",IRN,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5185785505538
"Iran, Islamic Rep.",IRN,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5124389105823
"Iran, Islamic Rep.",IRN,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.4756010707532
"Iran, Islamic Rep.",IRN,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.4387632309241
"Iran, Islamic Rep.",IRN,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.4019253910951
"Iran, Islamic Rep.",IRN,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.3902600751492
"Iran, Islamic Rep.",IRN,2021,Arable land (% of land area),AG.LND.ARBL.ZS,9.67580893682589
"Iran, Islamic Rep.",IRN,2020,Arable land (% of land area),AG.LND.ARBL.ZS,9.65156653312789
