Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Isle of Man,IMN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,403.0
Isle of Man,IMN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,402.0
Isle of Man,IMN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,407.0
Isle of Man,IMN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,404.0
Isle of Man,IMN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,389.0
Isle of Man,IMN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,388.0
Isle of Man,IMN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,384.0
Isle of Man,IMN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,426.1
Isle of Man,IMN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,433.8
Isle of Man,IMN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,434.2
Isle of Man,IMN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,442.8
Isle of Man,IMN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,421.2
Isle of Man,IMN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,423.6
Isle of Man,IMN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,461.1
Isle of Man,IMN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,458.0
Isle of Man,IMN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,457.7
Isle of Man,IMN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,454.0
Isle of Man,IMN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,442.0
Isle of Man,IMN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,438.0
Isle of Man,IMN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,434.0
Isle of Man,IMN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Isle of Man,IMN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,425.0
Isle of Man,IMN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,421.0
Isle of Man,IMN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,417.0
Isle of Man,IMN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,413.0
Isle of Man,IMN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,408.0
Isle of Man,IMN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,404.0
Isle of Man,IMN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,400.0
Isle of Man,IMN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,396.0
Isle of Man,IMN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,391.0
Isle of Man,IMN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,387.0
