Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Cote d'Ivoire,CIV,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,231500.0
Cote d'Ivoire,CIV,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,220000.0
Cote d'Ivoire,CIV,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,219000.0
Cote d'Ivoire,CIV,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,222000.0
Cote d'Ivoire,CIV,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,213500.0
Cote d'Ivoire,CIV,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,212000.0
Cote d'Ivoire,CIV,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,207000.0
Cote d'Ivoire,CIV,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,206000.0
Cote d'Ivoire,CIV,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,206000.0
Cote d'Ivoire,CIV,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,206000.0
Cote d'Ivoire,CIV,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,206000.0
Cote d'Ivoire,CIV,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,206000.0
Cote d'Ivoire,CIV,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,203000.0
Cote d'Ivoire,CIV,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,202000.0
Cote d'Ivoire,CIV,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,200000.0
Cote d'Ivoire,CIV,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,196000.0
Cote d'Ivoire,CIV,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,196000.0
Cote d'Ivoire,CIV,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,196000.0
Cote d'Ivoire,CIV,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,196000.0
Cote d'Ivoire,CIV,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,196000.0
Cote d'Ivoire,CIV,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,197000.0
Cote d'Ivoire,CIV,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,197000.0
Cote d'Ivoire,CIV,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,198000.0
Cote d'Ivoire,CIV,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,198000.0
Cote d'Ivoire,CIV,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,197000.0
Cote d'Ivoire,CIV,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,195020.0
Cote d'Ivoire,CIV,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,192000.0
Cote d'Ivoire,CIV,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,189500.0
Cote d'Ivoire,CIV,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,189300.0
Cote d'Ivoire,CIV,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,188200.0
Cote d'Ivoire,CIV,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,187200.0
Cote d'Ivoire,CIV,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,184000.0
Cote d'Ivoire,CIV,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,182800.0
Cote d'Ivoire,CIV,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,181800.0
Cote d'Ivoire,CIV,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,179010.0
Cote d'Ivoire,CIV,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,175840.0
Cote d'Ivoire,CIV,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,174900.0
Cote d'Ivoire,CIV,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,173700.0
Cote d'Ivoire,CIV,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,172550.0
Cote d'Ivoire,CIV,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,172250.0
Cote d'Ivoire,CIV,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,172100.0
Cote d'Ivoire,CIV,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,170800.0
Cote d'Ivoire,CIV,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,168400.0
Cote d'Ivoire,CIV,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,167150.0
Cote d'Ivoire,CIV,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,166250.0
Cote d'Ivoire,CIV,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,164400.0
Cote d'Ivoire,CIV,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,163100.0
Cote d'Ivoire,CIV,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,163000.0
Cote d'Ivoire,CIV,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,162000.0
Cote d'Ivoire,CIV,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,162000.0
Cote d'Ivoire,CIV,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,161500.0
Cote d'Ivoire,CIV,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,161500.0
Cote d'Ivoire,CIV,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,160800.0
Cote d'Ivoire,CIV,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,160800.0
Cote d'Ivoire,CIV,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,159800.0
Cote d'Ivoire,CIV,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,158800.0
Cote d'Ivoire,CIV,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,158800.0
Cote d'Ivoire,CIV,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,156800.0
Cote d'Ivoire,CIV,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.8993710691824
Cote d'Ivoire,CIV,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2704402515723
