Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Japan,JPN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,47460.0
Japan,JPN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,47780.0
Japan,JPN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,48130.0
Japan,JPN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,48460.0
Japan,JPN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,48700.0
Japan,JPN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,48920.0
Japan,JPN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,49050.0
Japan,JPN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,49190.0
Japan,JPN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,49530.0
Japan,JPN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,49746.0
Japan,JPN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,49992.0
Japan,JPN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,50268.0
Japan,JPN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,50534.0
Japan,JPN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,50800.0
Japan,JPN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,51100.0
Japan,JPN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,51400.0
Japan,JPN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,51750.0
Japan,JPN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,52130.0
Japan,JPN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,52580.0
Japan,JPN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,53210.0
Japan,JPN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,53760.0
Japan,JPN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,54370.0
Japan,JPN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,55000.0
Japan,JPN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,55620.0
Japan,JPN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,56250.0
Japan,JPN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,56860.0
Japan,JPN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,57360.0
Japan,JPN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,57840.0
Japan,JPN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,58320.0
Japan,JPN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,58780.0
Japan,JPN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,59250.0
Japan,JPN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,59580.0
Japan,JPN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,59850.0
