Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,276990.0
Kenya,KEN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,276880.0
Kenya,KEN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,276770.0
Kenya,KEN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,276660.0
Kenya,KEN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,276540.0
Kenya,KEN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,276430.0
Kenya,KEN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,276320.0
Kenya,KEN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,276210.0
Kenya,KEN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,273100.0
Kenya,KEN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,272850.0
Kenya,KEN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,270850.0
Kenya,KEN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,270700.0
Kenya,KEN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,270540.0
Kenya,KEN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,270020.0
Kenya,KEN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,269920.0
Kenya,KEN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,268740.0
Kenya,KEN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,268180.0
Kenya,KEN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,268390.0
Kenya,KEN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,266710.0
Kenya,KEN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,268760.0
Kenya,KEN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,264580.0
Kenya,KEN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,265940.0
Kenya,KEN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,264510.0
Kenya,KEN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,272180.0
Kenya,KEN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,272320.0
Kenya,KEN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,268400.0
Kenya,KEN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,270720.0
Kenya,KEN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,268770.0
Kenya,KEN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,267700.0
Kenya,KEN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,270530.0
Kenya,KEN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,266620.0
