Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kiribati,KIR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Kiribati,KIR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Kiribati,KIR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Kiribati,KIR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Kiribati,KIR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Kiribati,KIR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Kiribati,KIR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,380.0
Kiribati,KIR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Kiribati,KIR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Kiribati,KIR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Kiribati,KIR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,430.0
Kiribati,KIR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,390.0
Kiribati,KIR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
Kiribati,KIR,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9753086419753
