Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Korea, Dem. People's Rep.",PRK,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,26000.0
"Korea, Dem. People's Rep.",PRK,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,26000.0
"Korea, Dem. People's Rep.",PRK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,26200.0
"Korea, Dem. People's Rep.",PRK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
"Korea, Dem. People's Rep.",PRK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
"Korea, Dem. People's Rep.",PRK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
"Korea, Dem. People's Rep.",PRK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
"Korea, Dem. People's Rep.",PRK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,26300.0
"Korea, Dem. People's Rep.",PRK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,26800.0
"Korea, Dem. People's Rep.",PRK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,26700.0
"Korea, Dem. People's Rep.",PRK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,26500.0
"Korea, Dem. People's Rep.",PRK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,26000.0
"Korea, Dem. People's Rep.",PRK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,26000.0
"Korea, Dem. People's Rep.",PRK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,26000.0
"Korea, Dem. People's Rep.",PRK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
"Korea, Dem. People's Rep.",PRK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,25500.0
