Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kyrgyz Republic,KGZ,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,103708.0
Kyrgyz Republic,KGZ,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,105401.0
Kyrgyz Republic,KGZ,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,105411.0
Kyrgyz Republic,KGZ,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,105562.0
Kyrgyz Republic,KGZ,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,105571.0
Kyrgyz Republic,KGZ,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,105567.0
Kyrgyz Republic,KGZ,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,105913.0
Kyrgyz Republic,KGZ,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,106085.0
Kyrgyz Republic,KGZ,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,106119.0
Kyrgyz Republic,KGZ,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,106173.0
Kyrgyz Republic,KGZ,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,107272.0
Kyrgyz Republic,KGZ,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,107286.0
Kyrgyz Republic,KGZ,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,107311.0
Kyrgyz Republic,KGZ,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,107450.0
Kyrgyz Republic,KGZ,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,107700.0
Kyrgyz Republic,KGZ,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,108400.0
Kyrgyz Republic,KGZ,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,107760.0
Kyrgyz Republic,KGZ,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,107760.0
Kyrgyz Republic,KGZ,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,107140.0
Kyrgyz Republic,KGZ,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,107260.0
Kyrgyz Republic,KGZ,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,106900.0
Kyrgyz Republic,KGZ,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,106610.0
Kyrgyz Republic,KGZ,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,106410.0
Kyrgyz Republic,KGZ,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,105370.0
Kyrgyz Republic,KGZ,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,103290.0
Kyrgyz Republic,KGZ,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,101200.0
Kyrgyz Republic,KGZ,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
Kyrgyz Republic,KGZ,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
Kyrgyz Republic,KGZ,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
Kyrgyz Republic,KGZ,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
Kyrgyz Republic,KGZ,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
Kyrgyz Republic,KGZ,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,100880.0
