Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Lao PDR,LAO,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,21828.0
Lao PDR,LAO,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,22589.0
Lao PDR,LAO,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,23350.0
Lao PDR,LAO,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,23350.0
Lao PDR,LAO,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,23350.0
Lao PDR,LAO,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,23350.0
Lao PDR,LAO,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,23072.5
Lao PDR,LAO,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,22765.0
Lao PDR,LAO,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,22200.0
Lao PDR,LAO,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,21680.0
Lao PDR,LAO,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,21040.0
Lao PDR,LAO,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,20630.0
Lao PDR,LAO,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,20250.0
Lao PDR,LAO,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,19850.0
Lao PDR,LAO,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,19460.0
Lao PDR,LAO,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,19110.0
Lao PDR,LAO,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,18760.0
Lao PDR,LAO,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,18410.0
Lao PDR,LAO,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,18060.0
Lao PDR,LAO,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,17730.0
Lao PDR,LAO,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,17650.0
Lao PDR,LAO,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,17560.0
Lao PDR,LAO,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,17000.0
Lao PDR,LAO,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,17000.0
Lao PDR,LAO,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,16900.0
Lao PDR,LAO,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,16650.0
Lao PDR,LAO,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,16640.0
Lao PDR,LAO,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,16620.0
Lao PDR,LAO,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,16600.0
Lao PDR,LAO,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,16520.0
Lao PDR,LAO,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,16500.0
Lao PDR,LAO,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,16400.0
Lao PDR,LAO,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,16380.0
Lao PDR,LAO,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,16350.0
Lao PDR,LAO,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,16300.0
Lao PDR,LAO,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,16200.0
Lao PDR,LAO,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,16170.0
Lao PDR,LAO,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,16090.0
Lao PDR,LAO,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,16060.0
Lao PDR,LAO,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,16050.0
Lao PDR,LAO,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,15980.0
