Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Latvia,LVA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,19380.0
Latvia,LVA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,19330.0
Latvia,LVA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,19310.0
Latvia,LVA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,18845.0
Latvia,LVA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,18720.0
Latvia,LVA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,18770.0
Latvia,LVA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,18410.0
Latvia,LVA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,18160.0
Latvia,LVA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,18050.0
Latvia,LVA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,18330.0
Latvia,LVA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,18250.0
Latvia,LVA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,18390.0
Latvia,LVA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,18550.0
Latvia,LVA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,17340.0
Latvia,LVA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,16420.0
Latvia,LVA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,15820.0
Latvia,LVA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,15950.0
Latvia,LVA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,15810.0
Latvia,LVA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,15880.0
Latvia,LVA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,16170.0
Latvia,LVA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,17490.0
Latvia,LVA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,17720.0
Latvia,LVA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,18740.0
Latvia,LVA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,18320.0
Latvia,LVA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,25400.0
Latvia,LVA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,25140.0
Latvia,LVA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,25300.0
Latvia,LVA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.6567571910654
Latvia,LVA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.6406877711715
Latvia,LVA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.4975814357112
Latvia,LVA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1440371542899
Latvia,LVA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.0636861812397
Latvia,LVA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.0315457920195
Latvia,LVA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.2842817426519
Latvia,LVA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.0834043100262
Latvia,LVA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.1637552830765
Latvia,LVA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5852282771144
Latvia,LVA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.183473411863
Latvia,LVA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.0067012711524
Latvia,LVA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.456666720234
Latvia,LVA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3281051633535
Latvia,LVA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5530878878943
Latvia,LVA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.8102110016552
Latvia,LVA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8657174538384
Latvia,LVA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3872595497131
Latvia,LVA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.4230478731097
Latvia,LVA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.6319604030405
Latvia,LVA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.4069776784997
Latvia,LVA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.5194690407701
Latvia,LVA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.9855046844617
Latvia,LVA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1067703729892
Latvia,LVA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4763848490205
Latvia,LVA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.1155446992463
Latvia,LVA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4405965256239
Latvia,LVA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.8182943095441
Latvia,LVA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4004692496826
Latvia,LVA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.6575923634435
Latvia,LVA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,21.8865498955488
Latvia,LVA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,21.4366061385184
Latvia,LVA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,21.1965866906648
Latvia,LVA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,20.8109020200235
Latvia,LVA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,20.7305510469732
Latvia,LVA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,20.6984106577531
Latvia,LVA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,19.7631253314478
Latvia,LVA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,19.4288652835586
Latvia,LVA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,19.4127950889485
Latvia,LVA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,18.9306892506468
Latvia,LVA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,18.6092853584457
Latvia,LVA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,18.8503382775965
Latvia,LVA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,18.7699873045463
Latvia,LVA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,18.8021276937664
Latvia,LVA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,19.0913911967474
Latvia,LVA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,19.3645845051184
Latvia,LVA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.5486525141819
Latvia,LVA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,16.2148263615472
Latvia,LVA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,15.3791762418243
Latvia,LVA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,15.6362993555852
Latvia,LVA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,15.3952464364343
Latvia,LVA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,15.588088771755
Latvia,LVA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,15.861282080126
Latvia,LVA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,17.0183360920501
Latvia,LVA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,17.3397399842512
Latvia,LVA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,17.0344062866601
Latvia,LVA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,16.1023349992768
Latvia,LVA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,27.480032783197
Latvia,LVA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,27.1104183071657
Latvia,LVA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,27.1264885017758
Latvia,LVA,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1103.48714342
Latvia,LVA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1095.09772304
Latvia,LVA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1094.47131955
Latvia,LVA,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,1.73947323370331
Latvia,LVA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,1.72624863721899
Latvia,LVA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,1.72526121102902
Latvia,LVA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,91.3389634392
Latvia,LVA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,99.7283838187
Latvia,LVA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,100.3547873125
Latvia,LVA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.143981452837119
Latvia,LVA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.157206049320582
Latvia,LVA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.158193475515201
Latvia,LVA,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,1.88345468654043
Latvia,LVA,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,1.88345468653957
Latvia,LVA,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,1.88345468654422
Latvia,LVA,2021,Forest area (sq. km),AG.LND.FRST.K2,34146.6
Latvia,LVA,2020,Forest area (sq. km),AG.LND.FRST.K2,34107.9
Latvia,LVA,2019,Forest area (sq. km),AG.LND.FRST.K2,34069.2
Latvia,LVA,2018,Forest area (sq. km),AG.LND.FRST.K2,34030.5
Latvia,LVA,2017,Forest area (sq. km),AG.LND.FRST.K2,33991.8
Latvia,LVA,2016,Forest area (sq. km),AG.LND.FRST.K2,33953.1
Latvia,LVA,2015,Forest area (sq. km),AG.LND.FRST.K2,33914.4
Latvia,LVA,2014,Forest area (sq. km),AG.LND.FRST.K2,33875.76
