Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Lesotho,LSO,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,24333.0
Lesotho,LSO,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,24180.0
Lesotho,LSO,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,23560.0
Lesotho,LSO,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,22230.0
Lesotho,LSO,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,22763.0
Lesotho,LSO,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,22521.0
Lesotho,LSO,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,22853.0
Lesotho,LSO,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,23120.0
Lesotho,LSO,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,23260.0
Lesotho,LSO,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,23390.0
Lesotho,LSO,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,23620.0
Lesotho,LSO,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
Lesotho,LSO,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,23070.0
Lesotho,LSO,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,23270.0
Lesotho,LSO,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,23140.0
Lesotho,LSO,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,23040.0
Lesotho,LSO,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,23040.0
Lesotho,LSO,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,23340.0
Lesotho,LSO,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,23340.0
Lesotho,LSO,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
Lesotho,LSO,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
Lesotho,LSO,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
Lesotho,LSO,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,23260.0
Lesotho,LSO,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,23240.0
Lesotho,LSO,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,23290.0
Lesotho,LSO,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,23340.0
Lesotho,LSO,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,23360.0
Lesotho,LSO,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,23230.0
Lesotho,LSO,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,23210.0
Lesotho,LSO,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,23050.0
Lesotho,LSO,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,23430.0
Lesotho,LSO,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,23300.0
Lesotho,LSO,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,22910.0
Lesotho,LSO,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,23080.0
Lesotho,LSO,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,23010.0
Lesotho,LSO,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,22870.0
Lesotho,LSO,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,22920.0
Lesotho,LSO,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,23020.0
Lesotho,LSO,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,22960.0
Lesotho,LSO,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,23090.0
Lesotho,LSO,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,22930.0
Lesotho,LSO,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,22920.0
Lesotho,LSO,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
Lesotho,LSO,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,23760.0
Lesotho,LSO,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
Lesotho,LSO,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
Lesotho,LSO,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,23590.0
Lesotho,LSO,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,23640.0
Lesotho,LSO,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,24270.0
Lesotho,LSO,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,24780.0
Lesotho,LSO,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,25330.0
Lesotho,LSO,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,25830.0
Lesotho,LSO,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,25830.0
Lesotho,LSO,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,25780.0
Lesotho,LSO,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,25780.0
Lesotho,LSO,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,25760.0
Lesotho,LSO,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,25760.0
Lesotho,LSO,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,25810.0
Lesotho,LSO,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.1383399209486
Lesotho,LSO,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.1383399209486
Lesotho,LSO,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.1383399209486
Lesotho,LSO,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.1482213438735
Lesotho,LSO,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.6442687747035
Lesotho,LSO,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.6021080368907
Lesotho,LSO,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2213438735178
Lesotho,LSO,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.9769433465086
Lesotho,LSO,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.1798418972332
Lesotho,LSO,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2733860342556
Lesotho,LSO,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.1528326745718
Lesotho,LSO,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6139657444005
Lesotho,LSO,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.0421607378129
Lesotho,LSO,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.7997364953887
Lesotho,LSO,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7127799736495
Lesotho,LSO,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.9881422924901
Lesotho,LSO,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6469038208169
Lesotho,LSO,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.2187088274045
Lesotho,LSO,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.8893280632411
Lesotho,LSO,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.8893280632411
Lesotho,LSO,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.8774703557312
Lesotho,LSO,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.8774703557312
Lesotho,LSO,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7127799736495
Lesotho,LSO,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7127799736495
Lesotho,LSO,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7127799736495
Lesotho,LSO,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6139657444005
