Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Liberia,LBR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,19069.038
Liberia,LBR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,18766.883
Liberia,LBR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,18464.827
Liberia,LBR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,18164.532
Liberia,LBR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,17863.733
Liberia,LBR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,17565.513
Liberia,LBR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,17266.362
Liberia,LBR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,16966.591
Liberia,LBR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,16670.346
Liberia,LBR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,16371.311
Liberia,LBR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,16072.218
Liberia,LBR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,15771.809
Liberia,LBR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,15478.004
Liberia,LBR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,15179.629
Liberia,LBR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,14881.04
Liberia,LBR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,14578.479
Liberia,LBR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,14275.723
Liberia,LBR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,13972.93
Liberia,LBR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,13671.162
Liberia,LBR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,13367.4
Liberia,LBR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,13067.416
Liberia,LBR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,12754.76
Liberia,LBR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,12452.218
Liberia,LBR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,12145.122
Liberia,LBR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,11840.682
Liberia,LBR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,11539.884
Liberia,LBR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,11239.202
Liberia,LBR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10940.2
Liberia,LBR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10637.6
Liberia,LBR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,11637.6
Liberia,LBR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,11637.6
Liberia,LBR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,11667.6
Liberia,LBR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,11607.6
Liberia,LBR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,11517.6
Liberia,LBR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,11497.6
Liberia,LBR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,11487.6
Liberia,LBR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,11437.6
Liberia,LBR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,11397.6
Liberia,LBR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,11397.6
Liberia,LBR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,11397.6
Liberia,LBR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,11397.6
Liberia,LBR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,11397.6
Liberia,LBR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,11347.6
Liberia,LBR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,11367.6
Liberia,LBR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,11367.6
