Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Libya,LBY,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,153500.0
Libya,LBY,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,153500.0
Libya,LBY,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,153500.0
Libya,LBY,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,153500.0
Libya,LBY,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,153500.0
Libya,LBY,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,153550.0
Libya,LBY,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,153550.0
Libya,LBY,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,153510.0
Libya,LBY,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,153510.0
Libya,LBY,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,153850.0
Libya,LBY,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,154500.0
Libya,LBY,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,156660.0
Libya,LBY,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,156660.0
Libya,LBY,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,155150.0
Libya,LBY,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,154750.0
Libya,LBY,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,154650.0
Libya,LBY,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,154650.0
Libya,LBY,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,154600.0
Libya,LBY,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,154550.0
Libya,LBY,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,154450.0
Libya,LBY,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,154400.0
Libya,LBY,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,154400.0
Libya,LBY,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,154350.0
Libya,LBY,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,154270.0
Libya,LBY,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,154150.0
Libya,LBY,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,154050.0
Libya,LBY,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,152920.0
Libya,LBY,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,151850.0
Libya,LBY,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,150800.0
Libya,LBY,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,148750.0
Libya,LBY,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,146730.0
Libya,LBY,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,144650.0
Libya,LBY,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,142580.0
