Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Luxembourg,LUX,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1315.59
Luxembourg,LUX,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1311.58
Luxembourg,LUX,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1306.51
Luxembourg,LUX,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1312.7
Luxembourg,LUX,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1309.9
Luxembourg,LUX,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1308.8
Luxembourg,LUX,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1314.2
Luxembourg,LUX,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1312.7
Luxembourg,LUX,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1310.4
Luxembourg,LUX,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1307.0
Luxembourg,LUX,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1310.0
Luxembourg,LUX,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1310.0
Luxembourg,LUX,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1290.0
Luxembourg,LUX,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1290.0
Luxembourg,LUX,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1280.0
Luxembourg,LUX,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1280.0
Luxembourg,LUX,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1280.0
Luxembourg,LUX,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1280.0
Luxembourg,LUX,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1280.0
Luxembourg,LUX,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.5879058132579
Luxembourg,LUX,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.3257149072038
Luxembourg,LUX,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1144084584729
Luxembourg,LUX,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.1015902363991
Luxembourg,LUX,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9458294166544
Luxembourg,LUX,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.7488949138849
Luxembourg,LUX,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9893336855108
Luxembourg,LUX,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8805730133698
Luxembourg,LUX,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8378456064573
Luxembourg,LUX,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.0475983313005
Luxembourg,LUX,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.9893336855108
Luxembourg,LUX,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8999945619664
Luxembourg,LUX,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.7679280315095
Luxembourg,LUX,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8844573230891
Luxembourg,LUX,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.8844573230891
Luxembourg,LUX,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1075953792252
Luxembourg,LUX,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.1075953792252
Luxembourg,LUX,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7191644072932
Luxembourg,LUX,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7191644072932
Luxembourg,LUX,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7191644072932
Luxembourg,LUX,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7191644072932
Luxembourg,LUX,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7191644072932
Luxembourg,LUX,2021,Arable land (% of land area),AG.LND.ARBL.ZS,24.2660596785345
Luxembourg,LUX,2020,Arable land (% of land area),AG.LND.ARBL.ZS,24.1332162861338
Luxembourg,LUX,2019,Arable land (% of land area),AG.LND.ARBL.ZS,24.0667945899334
Luxembourg,LUX,2018,Arable land (% of land area),AG.LND.ARBL.ZS,24.1270013905829
Luxembourg,LUX,2017,Arable land (% of land area),AG.LND.ARBL.ZS,24.097480636716
Luxembourg,LUX,2016,Arable land (% of land area),AG.LND.ARBL.ZS,24.0283399237122
Luxembourg,LUX,2015,Arable land (% of land area),AG.LND.ARBL.ZS,24.3934650373282
Luxembourg,LUX,2014,Arable land (% of land area),AG.LND.ARBL.ZS,24.3196631526611
Luxembourg,LUX,2013,Arable land (% of land area),AG.LND.ARBL.ZS,24.257514197152
Luxembourg,LUX,2012,Arable land (% of land area),AG.LND.ARBL.ZS,24.3002416040645
Luxembourg,LUX,2011,Arable land (% of land area),AG.LND.ARBL.ZS,24.1293319764145
Luxembourg,LUX,2010,Arable land (% of land area),AG.LND.ARBL.ZS,24.063298711186
Luxembourg,LUX,2009,Arable land (% of land area),AG.LND.ARBL.ZS,23.9933811362383
Luxembourg,LUX,2008,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2007,Arable land (% of land area),AG.LND.ARBL.ZS,23.6942892878507
Luxembourg,LUX,2006,Arable land (% of land area),AG.LND.ARBL.ZS,23.3058583159187
Luxembourg,LUX,2005,Arable land (% of land area),AG.LND.ARBL.ZS,23.3058583159187
Luxembourg,LUX,2004,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2003,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2002,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2001,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2000,Arable land (% of land area),AG.LND.ARBL.ZS,24.0827202597826
Luxembourg,LUX,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0.0
Luxembourg,LUX,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0.0
Luxembourg,LUX,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0.0
Luxembourg,LUX,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0
Luxembourg,LUX,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0
Luxembourg,LUX,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.0
Luxembourg,LUX,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0.0
Luxembourg,LUX,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0.0
Luxembourg,LUX,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0.0
Luxembourg,LUX,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0
Luxembourg,LUX,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0
Luxembourg,LUX,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.0
Luxembourg,LUX,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0
Luxembourg,LUX,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0
Luxembourg,LUX,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.0
Luxembourg,LUX,2021,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2020,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2019,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2018,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2017,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2016,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2015,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2014,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2013,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2012,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2011,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2010,Forest area (sq. km),AG.LND.FRST.K2,887.0
Luxembourg,LUX,2009,Forest area (sq. km),AG.LND.FRST.K2,885.0
Luxembourg,LUX,2008,Forest area (sq. km),AG.LND.FRST.K2,883.0
Luxembourg,LUX,2007,Forest area (sq. km),AG.LND.FRST.K2,881.0
Luxembourg,LUX,2006,Forest area (sq. km),AG.LND.FRST.K2,879.0
Luxembourg,LUX,2005,Forest area (sq. km),AG.LND.FRST.K2,877.0
Luxembourg,LUX,2004,Forest area (sq. km),AG.LND.FRST.K2,875.0
Luxembourg,LUX,2003,Forest area (sq. km),AG.LND.FRST.K2,873.0
Luxembourg,LUX,2002,Forest area (sq. km),AG.LND.FRST.K2,871.0
Luxembourg,LUX,2001,Forest area (sq. km),AG.LND.FRST.K2,869.0
Luxembourg,LUX,2000,Forest area (sq. km),AG.LND.FRST.K2,867.0
Luxembourg,LUX,2021,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2020,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2019,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2018,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2017,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2016,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2015,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2014,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2013,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2012,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2011,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2010,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664
Luxembourg,LUX,2009,Forest area (% of land area),AG.LND.FRST.ZS,34.37614101598
Luxembourg,LUX,2008,Forest area (% of land area),AG.LND.FRST.ZS,34.2984548215937
Luxembourg,LUX,2007,Forest area (% of land area),AG.LND.FRST.ZS,34.2207686272073
Luxembourg,LUX,2006,Forest area (% of land area),AG.LND.FRST.ZS,34.1430824328209
Luxembourg,LUX,2005,Forest area (% of land area),AG.LND.FRST.ZS,34.0653962384345
Luxembourg,LUX,2004,Forest area (% of land area),AG.LND.FRST.ZS,33.9877100440481
Luxembourg,LUX,2003,Forest area (% of land area),AG.LND.FRST.ZS,33.9100238496617
Luxembourg,LUX,2002,Forest area (% of land area),AG.LND.FRST.ZS,33.8323376552753
Luxembourg,LUX,2001,Forest area (% of land area),AG.LND.FRST.ZS,33.7546514608889
Luxembourg,LUX,2000,Forest area (% of land area),AG.LND.FRST.ZS,33.6769652665025
Luxembourg,LUX,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
Luxembourg,LUX,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934.0
