Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Macao SAR, China",MAC,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,14.095617461755
"Macao SAR, China",MAC,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,14.3566252100001
"Macao SAR, China",MAC,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,20.3594671467479
"Macao SAR, China",MAC,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,8.30704187323
"Macao SAR, China",MAC,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,8.24090618361
"Macao SAR, China",MAC,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6.71987052914
"Macao SAR, China",MAC,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,32.7841488661865
"Macao SAR, China",MAC,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,32.5231411179569
"Macao SAR, China",MAC,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,26.520299181211
"Macao SAR, China",MAC,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,46.8797663279414
"Macao SAR, China",MAC,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,46.879766327957
"Macao SAR, China",MAC,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,46.8797663279588
"Macao SAR, China",MAC,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,12.1996389876679
"Macao SAR, China",MAC,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,18.354700761349
"Macao SAR, China",MAC,2020,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-24.5284853077043
"Macao SAR, China",MAC,2019,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,11.8178697739571
"Macao SAR, China",MAC,2018,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.13426157065493
"Macao SAR, China",MAC,2017,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.37608502461293
"Macao SAR, China",MAC,2016,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.12503965729769
"Macao SAR, China",MAC,2015,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.07999340226639
"Macao SAR, China",MAC,2014,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.41549276697999
"Macao SAR, China",MAC,2013,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.32403946574483
"Macao SAR, China",MAC,2012,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.25598265615741
"Macao SAR, China",MAC,2011,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.76128070051628
"Macao SAR, China",MAC,2010,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,12.8507197926336
"Macao SAR, China",MAC,2009,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-1.91139650763636
"Macao SAR, China",MAC,2008,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,18.9404463569425
"Macao SAR, China",MAC,2007,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,28.8206055046708
"Macao SAR, China",MAC,2006,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,19.6103756817311
"Macao SAR, China",MAC,2005,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,14.5971664934489
"Macao SAR, China",MAC,2004,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.24868934401705
"Macao SAR, China",MAC,2003,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,6.13730012796973
"Macao SAR, China",MAC,2002,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.34424158844924
"Macao SAR, China",MAC,2001,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.33234141385093
"Macao SAR, China",MAC,2000,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.0116619047619048
"Macao SAR, China",MAC,1999,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.143867960175843
"Macao SAR, China",MAC,1998,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.263173681975737
"Macao SAR, China",MAC,1997,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0317850356619106
"Macao SAR, China",MAC,1996,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0827656207366985
"Macao SAR, China",MAC,1995,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0310808115550287
"Macao SAR, China",MAC,1994,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0551400004777165
"Macao SAR, China",MAC,1993,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.0635413039144015
"Macao SAR, China",MAC,1992,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.396795908522423
"Macao SAR, China",MAC,1991,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.284708872519743
"Macao SAR, China",MAC,1990,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0147852387096774
"Macao SAR, China",MAC,1989,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.0221756902976492
"Macao SAR, China",MAC,1988,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0152921110688475
"Macao SAR, China",MAC,1987,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.0045971731394681
"Macao SAR, China",MAC,1986,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0032634837501018
"Macao SAR, China",MAC,1985,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.0278986687471317
