Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Malaysia,MYS,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,85710.0
Malaysia,MYS,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,85710.0
Malaysia,MYS,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,85710.0
Malaysia,MYS,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,85699.7
Malaysia,MYS,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,80890.0
Malaysia,MYS,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,80593.0
Malaysia,MYS,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,78292.0
Malaysia,MYS,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,75306.0
Malaysia,MYS,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,73893.0
Malaysia,MYS,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,72200.0
Malaysia,MYS,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,71504.0
Malaysia,MYS,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,71072.0
Malaysia,MYS,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,70752.0
Malaysia,MYS,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,71344.1
Malaysia,MYS,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,71317.0
Malaysia,MYS,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,71162.4
Malaysia,MYS,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,70375.0
Malaysia,MYS,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,69470.0
Malaysia,MYS,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,69387.0
Malaysia,MYS,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,69471.0
Malaysia,MYS,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,69447.0
Malaysia,MYS,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,69587.0
Malaysia,MYS,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,69611.0
Malaysia,MYS,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,69660.0
Malaysia,MYS,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,69909.0
Malaysia,MYS,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,68914.0
Malaysia,MYS,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,68065.0
Malaysia,MYS,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,67945.0
Malaysia,MYS,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,67566.0
Malaysia,MYS,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,67217.0
Malaysia,MYS,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,63838.0
Malaysia,MYS,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,60734.0
Malaysia,MYS,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,57199.0
Malaysia,MYS,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,54157.5
Malaysia,MYS,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,52161.2
Malaysia,MYS,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,52054.4
Malaysia,MYS,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,51077.9
